component,cost_type,amount,currency,unit,value_source
comp1,purchase,180000,KRW,per_unit,assumption:synthetic_operations_v1
comp1,order_admin,20000,KRW,per_order,assumption:synthetic_operations_v1
comp1,preventive_labor,120000,KRW,per_event,assumption:synthetic_operations_v1
comp1,emergency_labor,360000,KRW,per_event,assumption:synthetic_operations_v1
comp1,holding,98.63,KRW,per_unit_day,assumption:synthetic_operations_v1
comp1,disposal_processing,1800,KRW,per_unit,assumption:synthetic_operations_v1
comp1,downtime,1500000,KRW,per_day,assumption:synthetic_operations_v1
comp1,expedite_surcharge,45000,KRW,per_unit,assumption:synthetic_operations_v1
comp2,purchase,2500000,KRW,per_unit,assumption:synthetic_operations_v1
comp2,order_admin,20000,KRW,per_order,assumption:synthetic_operations_v1
comp2,preventive_labor,500000,KRW,per_event,assumption:synthetic_operations_v1
comp2,emergency_labor,1500000,KRW,per_event,assumption:synthetic_operations_v1
comp2,holding,1369.86,KRW,per_unit_day,assumption:synthetic_operations_v1
comp2,disposal_processing,25000,KRW,per_unit,assumption:synthetic_operations_v1
comp2,downtime,5000000,KRW,per_day,assumption:synthetic_operations_v1
comp2,expedite_surcharge,625000,KRW,per_unit,assumption:synthetic_operations_v1
comp3,purchase,650000,KRW,per_unit,assumption:synthetic_operations_v1
comp3,order_admin,20000,KRW,per_order,assumption:synthetic_operations_v1
comp3,preventive_labor,250000,KRW,per_event,assumption:synthetic_operations_v1
comp3,emergency_labor,750000,KRW,per_event,assumption:synthetic_operations_v1
comp3,holding,356.16,KRW,per_unit_day,assumption:synthetic_operations_v1
comp3,disposal_processing,6500,KRW,per_unit,assumption:synthetic_operations_v1
comp3,downtime,2500000,KRW,per_day,assumption:synthetic_operations_v1
comp3,expedite_surcharge,162500,KRW,per_unit,assumption:synthetic_operations_v1
comp4,purchase,1200000,KRW,per_unit,assumption:synthetic_operations_v1
comp4,order_admin,20000,KRW,per_order,assumption:synthetic_operations_v1
comp4,preventive_labor,350000,KRW,per_event,assumption:synthetic_operations_v1
comp4,emergency_labor,1050000,KRW,per_event,assumption:synthetic_operations_v1
comp4,holding,657.53,KRW,per_unit_day,assumption:synthetic_operations_v1
comp4,disposal_processing,12000,KRW,per_unit,assumption:synthetic_operations_v1
comp4,downtime,3500000,KRW,per_day,assumption:synthetic_operations_v1
comp4,expedite_surcharge,300000,KRW,per_unit,assumption:synthetic_operations_v1
