lot_id,component,received_at,quantity_on_hand,quantity_reserved,use_by_at,quality_status,value_source,order_id,quantity_received,ready_at,as_of
LOT-00001,comp1,2014-10-06 06:00:00,0,0,2015-04-04 06:00:00,expired,assumption:synthetic_operations_v1,,7,2014-10-07 06:00:00,2016-01-01 06:00:00
LOT-00002,comp1,2015-03-29 06:00:00,0,0,2015-09-25 06:00:00,expired,assumption:synthetic_operations_v1,,12,2015-03-30 06:00:00,2016-01-01 06:00:00
LOT-00003,comp2,2015-03-05 06:00:00,0,0,2015-04-04 06:00:00,expired,assumption:synthetic_operations_v1,,9,2015-03-12 06:00:00,2016-01-01 06:00:00
LOT-00004,comp2,2015-03-23 06:00:00,0,0,2015-04-22 06:00:00,expired,assumption:synthetic_operations_v1,,16,2015-03-30 06:00:00,2016-01-01 06:00:00
LOT-00005,comp3,2015-01-04 06:00:00,0,0,2015-04-04 06:00:00,expired,assumption:synthetic_operations_v1,,7,2015-01-06 06:00:00,2016-01-01 06:00:00
LOT-00006,comp3,2015-03-28 06:00:00,0,0,2015-06-26 06:00:00,expired,assumption:synthetic_operations_v1,,12,2015-03-30 06:00:00,2016-01-01 06:00:00
LOT-00007,comp4,2014-12-05 06:00:00,0,0,2015-04-04 06:00:00,expired,assumption:synthetic_operations_v1,,8,2014-12-08 06:00:00,2016-01-01 06:00:00
LOT-00008,comp4,2015-03-27 06:00:00,0,0,2015-07-25 06:00:00,expired,assumption:synthetic_operations_v1,,14,2015-03-30 06:00:00,2016-01-01 06:00:00
LOT-00009,comp2,2015-04-04 06:00:00,0,0,2015-05-04 06:00:00,expired,assumption:synthetic_operations_v1,PO-00002,13,2015-04-11 06:00:00,2016-01-01 06:00:00
LOT-00010,comp3,2015-04-04 06:00:00,0,0,2015-07-03 06:00:00,expired,assumption:synthetic_operations_v1,PO-00007,12,2015-04-06 06:00:00,2016-01-01 06:00:00
LOT-00011,comp4,2015-04-04 06:00:00,0,0,2015-08-02 06:00:00,expired,assumption:synthetic_operations_v1,PO-00009,13,2015-04-07 06:00:00,2016-01-01 06:00:00
LOT-00012,comp1,2015-04-05 06:00:00,0,0,2015-10-02 06:00:00,expired,assumption:synthetic_operations_v1,PO-00001,13,2015-04-06 06:00:00,2016-01-01 06:00:00
LOT-00013,comp1,2015-04-08 06:00:00,0,0,2015-10-05 06:00:00,expired,assumption:synthetic_operations_v1,PO-00012,3,2015-04-09 06:00:00,2016-01-01 06:00:00
LOT-00014,comp4,2015-04-11 06:00:00,0,0,2015-08-09 06:00:00,expired,assumption:synthetic_operations_v1,PO-00010,13,2015-04-14 06:00:00,2016-01-01 06:00:00
LOT-00015,comp2,2015-04-13 06:00:00,0,0,2015-05-13 06:00:00,expired,assumption:synthetic_operations_v1,PO-00003,13,2015-04-20 06:00:00,2016-01-01 06:00:00
LOT-00016,comp3,2015-04-15 06:00:00,0,0,2015-07-14 06:00:00,expired,assumption:synthetic_operations_v1,PO-00014,6,2015-04-17 06:00:00,2016-01-01 06:00:00
