movement_id,occurred_at,lot_id,component,movement_type,quantity_delta,quality_status,record_id,value_source
MV-000001,2015-04-01 06:00:00,LOT-00001,comp1,opening,7,available,,assumption:synthetic_operations_v1
MV-000002,2015-04-01 06:00:00,LOT-00002,comp1,opening,12,available,,assumption:synthetic_operations_v1
MV-000003,2015-04-01 06:00:00,LOT-00003,comp2,opening,9,available,,assumption:synthetic_operations_v1
MV-000004,2015-04-01 06:00:00,LOT-00004,comp2,opening,16,available,,assumption:synthetic_operations_v1
MV-000005,2015-04-01 06:00:00,LOT-00005,comp3,opening,7,available,,assumption:synthetic_operations_v1
MV-000006,2015-04-01 06:00:00,LOT-00006,comp3,opening,12,available,,assumption:synthetic_operations_v1
MV-000007,2015-04-01 06:00:00,LOT-00007,comp4,opening,8,available,,assumption:synthetic_operations_v1
MV-000008,2015-04-01 06:00:00,LOT-00008,comp4,opening,14,available,,assumption:synthetic_operations_v1
MV-000009,2015-04-01 06:00:00,LOT-00001,comp1,issue,-1,available,MR-00012,assumption:synthetic_operations_v1
MV-000010,2015-04-01 06:00:00,LOT-00003,comp2,issue,-1,available,MR-00002,assumption:synthetic_operations_v1
MV-000011,2015-04-01 06:00:00,LOT-00003,comp2,issue,-1,available,MR-00004,assumption:synthetic_operations_v1
MV-000012,2015-04-01 06:00:00,LOT-00003,comp2,issue,-1,available,MR-00005,assumption:synthetic_operations_v1
MV-000013,2015-04-01 06:00:00,LOT-00003,comp2,issue,-1,available,MR-00008,assumption:synthetic_operations_v1
MV-000014,2015-04-01 06:00:00,LOT-00003,comp2,issue,-1,available,MR-00010,assumption:synthetic_operations_v1
MV-000015,2015-04-01 06:00:00,LOT-00003,comp2,issue,-1,available,MR-00011,assumption:synthetic_operations_v1
MV-000016,2015-04-01 06:00:00,LOT-00003,comp2,issue,-1,available,MR-00016,assumption:synthetic_operations_v1
MV-000017,2015-04-01 06:00:00,LOT-00005,comp3,issue,-1,available,MR-00013,assumption:synthetic_operations_v1
MV-000018,2015-04-01 06:00:00,LOT-00005,comp3,issue,-1,available,MR-00014,assumption:synthetic_operations_v1
MV-000019,2015-04-01 06:00:00,LOT-00007,comp4,issue,-1,available,MR-00001,assumption:synthetic_operations_v1
MV-000020,2015-04-01 06:00:00,LOT-00007,comp4,issue,-1,available,MR-00003,assumption:synthetic_operations_v1
MV-000021,2015-04-01 06:00:00,LOT-00007,comp4,issue,-1,available,MR-00006,assumption:synthetic_operations_v1
MV-000022,2015-04-01 06:00:00,LOT-00007,comp4,issue,-1,available,MR-00007,assumption:synthetic_operations_v1
MV-000023,2015-04-01 06:00:00,LOT-00007,comp4,issue,-1,available,MR-00009,assumption:synthetic_operations_v1
MV-000024,2015-04-01 06:00:00,LOT-00007,comp4,issue,-1,available,MR-00015,assumption:synthetic_operations_v1
MV-000025,2015-04-02 06:00:00,LOT-00001,comp1,issue,-1,available,MR-00019,assumption:synthetic_operations_v1
MV-000026,2015-04-02 06:00:00,LOT-00001,comp1,issue,-1,available,MR-00024,assumption:synthetic_operations_v1
MV-000027,2015-04-02 06:00:00,LOT-00001,comp1,issue,-1,available,MR-00025,assumption:synthetic_operations_v1
MV-000028,2015-04-02 06:00:00,LOT-00001,comp1,issue,-1,available,MR-00026,assumption:synthetic_operations_v1
MV-000029,2015-04-02 06:00:00,LOT-00001,comp1,issue,-1,available,MR-00028,assumption:synthetic_operations_v1
MV-000030,2015-04-02 06:00:00,LOT-00003,comp2,issue,-1,available,MR-00017,assumption:synthetic_operations_v1
MV-000031,2015-04-02 06:00:00,LOT-00003,comp2,issue,-1,available,MR-00022,assumption:synthetic_operations_v1
MV-000032,2015-04-02 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00023,assumption:synthetic_operations_v1
MV-000033,2015-04-02 06:00:00,LOT-00005,comp3,issue,-1,available,MR-00027,assumption:synthetic_operations_v1
MV-000034,2015-04-02 06:00:00,LOT-00007,comp4,issue,-1,available,MR-00018,assumption:synthetic_operations_v1
MV-000035,2015-04-02 06:00:00,LOT-00007,comp4,issue,-1,available,MR-00020,assumption:synthetic_operations_v1
MV-000036,2015-04-02 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00021,assumption:synthetic_operations_v1
MV-000037,2015-04-03 06:00:00,LOT-00001,comp1,issue,-1,available,MR-00030,assumption:synthetic_operations_v1
MV-000038,2015-04-03 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00033,assumption:synthetic_operations_v1
MV-000039,2015-04-03 06:00:00,LOT-00005,comp3,issue,-1,available,MR-00029,assumption:synthetic_operations_v1
MV-000040,2015-04-03 06:00:00,LOT-00005,comp3,issue,-1,available,MR-00031,assumption:synthetic_operations_v1
MV-000041,2015-04-03 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00032,assumption:synthetic_operations_v1
MV-000042,2015-04-04 06:00:00,LOT-00009,comp2,receipt,13,available,,assumption:synthetic_operations_v1
MV-000043,2015-04-04 06:00:00,LOT-00010,comp3,receipt,12,available,,assumption:synthetic_operations_v1
MV-000044,2015-04-04 06:00:00,LOT-00011,comp4,receipt,13,available,,assumption:synthetic_operations_v1
MV-000045,2015-04-04 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00035,assumption:synthetic_operations_v1
MV-000046,2015-04-04 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00037,assumption:synthetic_operations_v1
MV-000047,2015-04-04 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00039,assumption:synthetic_operations_v1
MV-000048,2015-04-04 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00034,assumption:synthetic_operations_v1
MV-000049,2015-04-04 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00038,assumption:synthetic_operations_v1
MV-000050,2015-04-04 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00040,assumption:synthetic_operations_v1
MV-000051,2015-04-04 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00044,assumption:synthetic_operations_v1
MV-000052,2015-04-04 06:00:00,LOT-00005,comp3,issue,-1,available,MR-00036,assumption:synthetic_operations_v1
MV-000053,2015-04-04 06:00:00,LOT-00005,comp3,issue,-1,available,MR-00041,assumption:synthetic_operations_v1
MV-000054,2015-04-04 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00042,assumption:synthetic_operations_v1
MV-000055,2015-04-04 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00043,assumption:synthetic_operations_v1
MV-000056,2015-04-04 07:00:00,LOT-00001,comp1,expiry,0,expired,,assumption:synthetic_operations_v1
MV-000057,2015-04-04 07:00:00,LOT-00003,comp2,expiry,0,expired,,assumption:synthetic_operations_v1
MV-000058,2015-04-04 07:00:00,LOT-00005,comp3,expiry,0,expired,,assumption:synthetic_operations_v1
MV-000059,2015-04-04 07:00:00,LOT-00007,comp4,expiry,0,expired,,assumption:synthetic_operations_v1
MV-000060,2015-04-05 06:00:00,LOT-00012,comp1,receipt,13,available,,assumption:synthetic_operations_v1
MV-000061,2015-04-05 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00048,assumption:synthetic_operations_v1
MV-000062,2015-04-05 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00053,assumption:synthetic_operations_v1
MV-000063,2015-04-05 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00055,assumption:synthetic_operations_v1
MV-000064,2015-04-05 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00051,assumption:synthetic_operations_v1
MV-000065,2015-04-05 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00054,assumption:synthetic_operations_v1
MV-000066,2015-04-05 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00045,assumption:synthetic_operations_v1
MV-000067,2015-04-05 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00047,assumption:synthetic_operations_v1
MV-000068,2015-04-05 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00052,assumption:synthetic_operations_v1
MV-000069,2015-04-05 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00057,assumption:synthetic_operations_v1
MV-000070,2015-04-05 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00046,assumption:synthetic_operations_v1
MV-000071,2015-04-05 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00049,assumption:synthetic_operations_v1
MV-000072,2015-04-05 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00050,assumption:synthetic_operations_v1
MV-000073,2015-04-05 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00056,assumption:synthetic_operations_v1
MV-000074,2015-04-05 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00058,assumption:synthetic_operations_v1
MV-000075,2015-04-06 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00060,assumption:synthetic_operations_v1
MV-000076,2015-04-06 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00064,assumption:synthetic_operations_v1
MV-000077,2015-04-06 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00062,assumption:synthetic_operations_v1
MV-000078,2015-04-06 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00066,assumption:synthetic_operations_v1
MV-000079,2015-04-06 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00059,assumption:synthetic_operations_v1
MV-000080,2015-04-06 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00061,assumption:synthetic_operations_v1
MV-000081,2015-04-06 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00063,assumption:synthetic_operations_v1
MV-000082,2015-04-06 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00065,assumption:synthetic_operations_v1
MV-000083,2015-04-07 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00068,assumption:synthetic_operations_v1
MV-000084,2015-04-07 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00069,assumption:synthetic_operations_v1
MV-000085,2015-04-07 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00074,assumption:synthetic_operations_v1
MV-000086,2015-04-07 06:00:00,LOT-00002,comp1,issue,-1,available,MR-00077,assumption:synthetic_operations_v1
MV-000087,2015-04-07 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00067,assumption:synthetic_operations_v1
MV-000088,2015-04-07 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00070,assumption:synthetic_operations_v1
MV-000089,2015-04-07 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00071,assumption:synthetic_operations_v1
MV-000090,2015-04-07 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00072,assumption:synthetic_operations_v1
MV-000091,2015-04-07 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00076,assumption:synthetic_operations_v1
MV-000092,2015-04-07 06:00:00,LOT-00006,comp3,issue,-1,available,MR-00078,assumption:synthetic_operations_v1
MV-000093,2015-04-07 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00073,assumption:synthetic_operations_v1
MV-000094,2015-04-07 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00075,assumption:synthetic_operations_v1
MV-000095,2015-04-08 06:00:00,LOT-00013,comp1,receipt,3,available,,assumption:synthetic_operations_v1
MV-000096,2015-04-08 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00081,assumption:synthetic_operations_v1
MV-000097,2015-04-08 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00083,assumption:synthetic_operations_v1
MV-000098,2015-04-08 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00079,assumption:synthetic_operations_v1
MV-000099,2015-04-08 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00080,assumption:synthetic_operations_v1
MV-000100,2015-04-08 06:00:00,LOT-00008,comp4,issue,-1,available,MR-00082,assumption:synthetic_operations_v1
MV-000101,2015-04-08 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00084,assumption:synthetic_operations_v1
MV-000102,2015-04-09 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00085,assumption:synthetic_operations_v1
MV-000103,2015-04-09 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00086,assumption:synthetic_operations_v1
MV-000104,2015-04-09 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00087,assumption:synthetic_operations_v1
MV-000105,2015-04-09 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00089,assumption:synthetic_operations_v1
MV-000106,2015-04-09 06:00:00,LOT-00004,comp2,issue,-1,available,MR-00090,assumption:synthetic_operations_v1
MV-000107,2015-04-09 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00088,assumption:synthetic_operations_v1
MV-000108,2015-04-10 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00091,assumption:synthetic_operations_v1
MV-000109,2015-04-10 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00092,assumption:synthetic_operations_v1
MV-000110,2015-04-11 06:00:00,LOT-00014,comp4,receipt,13,available,,assumption:synthetic_operations_v1
MV-000111,2015-04-11 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00096,assumption:synthetic_operations_v1
MV-000112,2015-04-11 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00093,assumption:synthetic_operations_v1
MV-000113,2015-04-11 06:00:00,LOT-00010,comp3,issue,-1,available,MR-00095,assumption:synthetic_operations_v1
MV-000114,2015-04-11 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00094,assumption:synthetic_operations_v1
MV-000115,2015-04-11 06:00:00,LOT-00011,comp4,issue,-1,available,MR-00097,assumption:synthetic_operations_v1
MV-000116,2015-04-12 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00098,assumption:synthetic_operations_v1
MV-000117,2015-04-13 06:00:00,LOT-00015,comp2,receipt,13,available,,assumption:synthetic_operations_v1
MV-000118,2015-04-13 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00099,assumption:synthetic_operations_v1
MV-000119,2015-04-13 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00104,assumption:synthetic_operations_v1
MV-000120,2015-04-13 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00106,assumption:synthetic_operations_v1
MV-000121,2015-04-13 06:00:00,LOT-00012,comp1,issue,-1,available,MR-00110,assumption:synthetic_operations_v1
