record_id,machineID,component,planned_at,completed_at,maintenance_type,used_lot_id,quantity_used,result,value_source,source_event_at,quantity_requested
MR-00001,14,comp4,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00007,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00002,17,comp2,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00003,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00003,17,comp4,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00007,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00004,28,comp2,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00003,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00005,33,comp2,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00003,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00006,33,comp4,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00007,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00007,34,comp4,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00007,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00008,39,comp2,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00003,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00009,39,comp4,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00007,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
MR-00010,51,comp2,2015-04-01 06:00:00,2015-04-01 06:00:00,observed_replacement_demand,LOT-00003,1,completed,assumption:synthetic_operations_v1;demand=PdM_maint.csv,2015-04-01 06:00:00,1
