order_id,component,ordered_at,expected_receipt_at,actual_receipt_at,quantity,status,value_source
PO-00001,comp1,2015-03-28 06:00:00,2015-04-04 06:00:00,2015-04-05 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00002,comp2,2015-02-28 06:00:00,2015-04-04 06:00:00,2015-04-04 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00003,comp2,2015-03-07 06:00:00,2015-04-11 06:00:00,2015-04-13 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00004,comp2,2015-03-14 06:00:00,2015-04-18 06:00:00,2015-04-18 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00005,comp2,2015-03-21 06:00:00,2015-04-25 06:00:00,2015-04-25 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00006,comp2,2015-03-28 06:00:00,2015-05-02 06:00:00,2015-05-02 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00007,comp3,2015-03-21 06:00:00,2015-04-04 06:00:00,2015-04-04 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00008,comp3,2015-03-28 06:00:00,2015-04-11 06:00:00,2015-04-19 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00009,comp4,2015-03-14 06:00:00,2015-04-04 06:00:00,2015-04-04 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00010,comp4,2015-03-21 06:00:00,2015-04-11 06:00:00,2015-04-11 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00011,comp4,2015-03-28 06:00:00,2015-04-18 06:00:00,2015-04-19 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00012,comp1,2015-04-01 06:00:00,2015-04-08 06:00:00,2015-04-08 06:00:00,3,received,assumption:synthetic_operations_v1
PO-00013,comp2,2015-04-01 06:00:00,2015-05-06 06:00:00,2015-05-06 06:00:00,20,received,assumption:synthetic_operations_v1
PO-00014,comp3,2015-04-01 06:00:00,2015-04-15 06:00:00,2015-04-15 06:00:00,6,received,assumption:synthetic_operations_v1
PO-00015,comp4,2015-04-01 06:00:00,2015-04-22 06:00:00,2015-04-25 06:00:00,13,received,assumption:synthetic_operations_v1
PO-00016,comp1,2015-04-08 06:00:00,2015-04-15 06:00:00,2015-04-15 06:00:00,21,received,assumption:synthetic_operations_v1
PO-00017,comp2,2015-04-08 06:00:00,2015-05-13 06:00:00,2015-05-26 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00018,comp3,2015-04-08 06:00:00,2015-04-22 06:00:00,2015-04-22 06:00:00,20,received,assumption:synthetic_operations_v1
PO-00019,comp4,2015-04-08 06:00:00,2015-04-29 06:00:00,2015-04-29 06:00:00,20,received,assumption:synthetic_operations_v1
PO-00020,comp1,2015-04-15 06:00:00,2015-04-22 06:00:00,2015-04-22 06:00:00,15,received,assumption:synthetic_operations_v1
PO-00021,comp2,2015-04-15 06:00:00,2015-05-20 06:00:00,2015-05-21 06:00:00,11,received,assumption:synthetic_operations_v1
PO-00022,comp3,2015-04-15 06:00:00,2015-04-29 06:00:00,2015-04-29 06:00:00,12,received,assumption:synthetic_operations_v1
PO-00023,comp4,2015-04-15 06:00:00,2015-05-06 06:00:00,2015-05-06 06:00:00,11,received,assumption:synthetic_operations_v1
PO-00024,comp1,2015-04-22 06:00:00,2015-04-29 06:00:00,2015-04-29 06:00:00,9,received,assumption:synthetic_operations_v1
