model_version,component,horizon_days,split,metric,value,source
fp_v1,comp1,7,test,auc,0.6583,dl
fp_v1,comp1,8,test,auc,0.6475,dl
fp_v1,comp1,14,test,auc,0.6107,dl
fp_v1,comp1,16,test,auc,0.6044,dl
fp_v1,comp1,21,test,auc,0.5992,dl
fp_v1,comp1,24,test,auc,0.5979,dl
fp_v1,comp1,28,test,auc,0.5847,dl
fp_v1,comp1,35,test,auc,0.5809,dl
fp_v1,comp1,42,test,auc,0.5753,dl
fp_v1,comp2,7,test,auc,0.6795,dl
fp_v1,comp2,8,test,auc,0.6622,dl
fp_v1,comp2,14,test,auc,0.6152,dl
fp_v1,comp2,16,test,auc,0.6058,dl
fp_v1,comp2,21,test,auc,0.5933,dl
fp_v1,comp2,24,test,auc,0.5891,dl
fp_v1,comp2,28,test,auc,0.5835,dl
fp_v1,comp2,35,test,auc,0.5944,dl
fp_v1,comp2,42,test,auc,0.5973,dl
fp_v1,comp3,7,test,auc,0.9339,dl
fp_v1,comp3,8,test,auc,0.9315,dl
fp_v1,comp3,14,test,auc,0.9319,dl
fp_v1,comp3,16,test,auc,0.9321,dl
fp_v1,comp3,21,test,auc,0.9336,dl
fp_v1,comp3,24,test,auc,0.9352,dl
fp_v1,comp3,28,test,auc,0.9356,dl
fp_v1,comp3,35,test,auc,0.9357,dl
fp_v1,comp3,42,test,auc,0.9307,dl
fp_v1,comp4,7,test,auc,0.9047,dl
fp_v1,comp4,8,test,auc,0.8972,dl
fp_v1,comp4,14,test,auc,0.8837,dl
fp_v1,comp4,16,test,auc,0.8833,dl
fp_v1,comp4,21,test,auc,0.8815,dl
fp_v1,comp4,24,test,auc,0.8787,dl
fp_v1,comp4,28,test,auc,0.8764,dl
fp_v1,comp4,35,test,auc,0.8794,dl
fp_v1,comp4,42,test,auc,0.883,dl
