model_version,component,horizon_days,split,metric,value,source
fp_v1,comp1,7,test,auc,0.9178,ml
fp_v1,comp1,7,test,pr_auc,0.3611,ml
fp_v1,comp1,7,test,base_rate,0.027,ml
fp_v1,comp1,7,test,rule_auc,0.749,ml
fp_v1,comp1,7,test,lift_top10,5.7872,ml
fp_v1,comp1,7,test,n_test,8700.0,ml
fp_v1,comp1,7,test,pos_test,235.0,ml
fp_v1,comp1,8,test,auc,0.8832,ml
fp_v1,comp1,8,test,pr_auc,0.2917,ml
fp_v1,comp1,8,test,base_rate,0.0307,ml
fp_v1,comp1,8,test,rule_auc,0.7461,ml
fp_v1,comp1,8,test,lift_top10,4.4697,ml
fp_v1,comp1,8,test,n_test,8600.0,ml
fp_v1,comp1,8,test,pos_test,264.0,ml
fp_v1,comp1,14,test,auc,0.7781,ml
fp_v1,comp1,14,test,pr_auc,0.1952,ml
fp_v1,comp1,14,test,base_rate,0.0529,ml
fp_v1,comp1,14,test,rule_auc,0.7341,ml
fp_v1,comp1,14,test,lift_top10,2.7896,ml
fp_v1,comp1,14,test,n_test,8000.0,ml
fp_v1,comp1,14,test,pos_test,423.0,ml
fp_v1,comp1,16,test,auc,0.7576,ml
fp_v1,comp1,16,test,pr_auc,0.1862,ml
fp_v1,comp1,16,test,base_rate,0.0604,ml
fp_v1,comp1,16,test,rule_auc,0.7304,ml
fp_v1,comp1,16,test,lift_top10,2.2505,ml
fp_v1,comp1,16,test,n_test,7800.0,ml
fp_v1,comp1,16,test,pos_test,471.0,ml
fp_v1,comp1,21,test,auc,0.7512,ml
fp_v1,comp1,21,test,pr_auc,0.2243,ml
fp_v1,comp1,21,test,base_rate,0.08,ml
fp_v1,comp1,21,test,rule_auc,0.719,ml
fp_v1,comp1,21,test,lift_top10,2.6199,ml
fp_v1,comp1,21,test,n_test,7300.0,ml
fp_v1,comp1,21,test,pos_test,584.0,ml
fp_v1,comp1,24,test,auc,0.7321,ml
fp_v1,comp1,24,test,pr_auc,0.2131,ml
fp_v1,comp1,24,test,base_rate,0.0923,ml
fp_v1,comp1,24,test,rule_auc,0.7119,ml
fp_v1,comp1,24,test,lift_top10,2.3375,ml
fp_v1,comp1,24,test,n_test,7000.0,ml
fp_v1,comp1,24,test,pos_test,646.0,ml
fp_v1,comp1,28,test,auc,0.6911,ml
fp_v1,comp1,28,test,pr_auc,0.2195,ml
fp_v1,comp1,28,test,base_rate,0.1089,ml
fp_v1,comp1,28,test,rule_auc,0.7009,ml
fp_v1,comp1,28,test,lift_top10,1.7107,ml
fp_v1,comp1,28,test,n_test,6600.0,ml
fp_v1,comp1,28,test,pos_test,719.0,ml
fp_v1,comp1,35,test,auc,0.6656,ml
fp_v1,comp1,35,test,pr_auc,0.2117,ml
fp_v1,comp1,35,test,base_rate,0.1397,ml
fp_v1,comp1,35,test,rule_auc,0.6812,ml
fp_v1,comp1,35,test,lift_top10,1.517,ml
fp_v1,comp1,35,test,n_test,5900.0,ml
fp_v1,comp1,35,test,pos_test,824.0,ml
fp_v1,comp1,42,test,auc,0.6866,ml
fp_v1,comp1,42,test,pr_auc,0.2937,ml
fp_v1,comp1,42,test,base_rate,0.1665,ml
fp_v1,comp1,42,test,rule_auc,0.655,ml
fp_v1,comp1,42,test,lift_top10,2.067,ml
fp_v1,comp1,42,test,n_test,5200.0,ml
fp_v1,comp1,42,test,pos_test,866.0,ml
fp_v1,comp2,7,test,auc,0.914,ml
fp_v1,comp2,7,test,pr_auc,0.4881,ml
fp_v1,comp2,7,test,base_rate,0.0551,ml
fp_v1,comp2,7,test,rule_auc,0.6759,ml
fp_v1,comp2,7,test,lift_top10,5.2192,ml
fp_v1,comp2,7,test,n_test,8700.0,ml
fp_v1,comp2,7,test,pos_test,479.0,ml
fp_v1,comp2,8,test,auc,0.8911,ml
fp_v1,comp2,8,test,pr_auc,0.4648,ml
fp_v1,comp2,8,test,base_rate,0.0629,ml
fp_v1,comp2,8,test,rule_auc,0.6739,ml
fp_v1,comp2,8,test,lift_top10,4.7874,ml
fp_v1,comp2,8,test,n_test,8600.0,ml
fp_v1,comp2,8,test,pos_test,541.0,ml
fp_v1,comp2,14,test,auc,0.7113,ml
fp_v1,comp2,14,test,pr_auc,0.3102,ml
fp_v1,comp2,14,test,base_rate,0.1123,ml
fp_v1,comp2,14,test,rule_auc,0.6611,ml
fp_v1,comp2,14,test,lift_top10,2.7171,ml
fp_v1,comp2,14,test,n_test,8000.0,ml
fp_v1,comp2,14,test,pos_test,898.0,ml
fp_v1,comp2,16,test,auc,0.6866,ml
fp_v1,comp2,16,test,pr_auc,0.3007,ml
fp_v1,comp2,16,test,base_rate,0.1282,ml
fp_v1,comp2,16,test,rule_auc,0.6572,ml
fp_v1,comp2,16,test,lift_top10,2.24,ml
fp_v1,comp2,16,test,n_test,7800.0,ml
fp_v1,comp2,16,test,pos_test,1000.0,ml
fp_v1,comp2,21,test,auc,0.6801,ml
fp_v1,comp2,21,test,pr_auc,0.3354,ml
fp_v1,comp2,21,test,base_rate,0.1673,ml
fp_v1,comp2,21,test,rule_auc,0.6449,ml
fp_v1,comp2,21,test,lift_top10,2.0475,ml
fp_v1,comp2,21,test,n_test,7300.0,ml
fp_v1,comp2,21,test,pos_test,1221.0,ml
fp_v1,comp2,24,test,auc,0.646,ml
fp_v1,comp2,24,test,pr_auc,0.3035,ml
fp_v1,comp2,24,test,base_rate,0.189,ml
fp_v1,comp2,24,test,rule_auc,0.634,ml
fp_v1,comp2,24,test,lift_top10,1.6629,ml
fp_v1,comp2,24,test,n_test,7000.0,ml
fp_v1,comp2,24,test,pos_test,1323.0,ml
fp_v1,comp2,28,test,auc,0.6449,ml
fp_v1,comp2,28,test,pr_auc,0.3178,ml
fp_v1,comp2,28,test,base_rate,0.2179,ml
fp_v1,comp2,28,test,rule_auc,0.6156,ml
fp_v1,comp2,28,test,lift_top10,1.5299,ml
fp_v1,comp2,28,test,n_test,6600.0,ml
fp_v1,comp2,28,test,pos_test,1438.0,ml
fp_v1,comp2,35,test,auc,0.6095,ml
fp_v1,comp2,35,test,pr_auc,0.3476,ml
fp_v1,comp2,35,test,base_rate,0.2659,ml
fp_v1,comp2,35,test,rule_auc,0.6078,ml
fp_v1,comp2,35,test,lift_top10,1.2301,ml
fp_v1,comp2,35,test,n_test,5900.0,ml
fp_v1,comp2,35,test,pos_test,1569.0,ml
fp_v1,comp2,42,test,auc,0.6245,ml
fp_v1,comp2,42,test,pr_auc,0.3921,ml
fp_v1,comp2,42,test,base_rate,0.3125,ml
fp_v1,comp2,42,test,rule_auc,0.5965,ml
fp_v1,comp2,42,test,lift_top10,1.0338,ml
fp_v1,comp2,42,test,n_test,5200.0,ml
fp_v1,comp2,42,test,pos_test,1625.0,ml
fp_v1,comp3,7,test,auc,0.9801,ml
fp_v1,comp3,7,test,pr_auc,0.5528,ml
fp_v1,comp3,7,test,base_rate,0.021,ml
fp_v1,comp3,7,test,rule_auc,0.8187,ml
fp_v1,comp3,7,test,lift_top10,9.9454,ml
fp_v1,comp3,7,test,n_test,8700.0,ml
fp_v1,comp3,7,test,pos_test,183.0,ml
fp_v1,comp3,8,test,auc,0.9725,ml
fp_v1,comp3,8,test,pr_auc,0.4423,ml
fp_v1,comp3,8,test,base_rate,0.0242,ml
fp_v1,comp3,8,test,rule_auc,0.8168,ml
fp_v1,comp3,8,test,lift_top10,9.7596,ml
fp_v1,comp3,8,test,n_test,8600.0,ml
fp_v1,comp3,8,test,pos_test,208.0,ml
fp_v1,comp3,14,test,auc,0.9453,ml
fp_v1,comp3,14,test,pr_auc,0.3684,ml
fp_v1,comp3,14,test,base_rate,0.0442,ml
fp_v1,comp3,14,test,rule_auc,0.8054,ml
fp_v1,comp3,14,test,lift_top10,6.6384,ml
fp_v1,comp3,14,test,n_test,8000.0,ml
fp_v1,comp3,14,test,pos_test,354.0,ml
fp_v1,comp3,16,test,auc,0.9458,ml
fp_v1,comp3,16,test,pr_auc,0.3782,ml
fp_v1,comp3,16,test,base_rate,0.0508,ml
fp_v1,comp3,16,test,rule_auc,0.8029,ml
fp_v1,comp3,16,test,lift_top10,6.5404,ml
fp_v1,comp3,16,test,n_test,7800.0,ml
fp_v1,comp3,16,test,pos_test,396.0,ml
fp_v1,comp3,21,test,auc,0.9417,ml
fp_v1,comp3,21,test,pr_auc,0.4353,ml
fp_v1,comp3,21,test,base_rate,0.0668,ml
fp_v1,comp3,21,test,rule_auc,0.7929,ml
fp_v1,comp3,21,test,lift_top10,5.6352,ml
fp_v1,comp3,21,test,n_test,7300.0,ml
fp_v1,comp3,21,test,pos_test,488.0,ml
fp_v1,comp3,24,test,auc,0.9431,ml
fp_v1,comp3,24,test,pr_auc,0.45,ml
fp_v1,comp3,24,test,base_rate,0.0767,ml
fp_v1,comp3,24,test,rule_auc,0.7836,ml
fp_v1,comp3,24,test,lift_top10,5.7169,ml
fp_v1,comp3,24,test,n_test,7000.0,ml
fp_v1,comp3,24,test,pos_test,537.0,ml
fp_v1,comp3,28,test,auc,0.9419,ml
fp_v1,comp3,28,test,pr_auc,0.5165,ml
fp_v1,comp3,28,test,base_rate,0.0905,ml
fp_v1,comp3,28,test,rule_auc,0.7709,ml
fp_v1,comp3,28,test,lift_top10,5.7286,ml
fp_v1,comp3,28,test,n_test,6600.0,ml
fp_v1,comp3,28,test,pos_test,597.0,ml
fp_v1,comp3,35,test,auc,0.9402,ml
fp_v1,comp3,35,test,pr_auc,0.5174,ml
fp_v1,comp3,35,test,base_rate,0.1147,ml
fp_v1,comp3,35,test,rule_auc,0.7406,ml
fp_v1,comp3,35,test,lift_top10,5.096,ml
fp_v1,comp3,35,test,n_test,5900.0,ml
fp_v1,comp3,35,test,pos_test,677.0,ml
fp_v1,comp3,42,test,auc,0.9254,ml
fp_v1,comp3,42,test,pr_auc,0.5428,ml
fp_v1,comp3,42,test,base_rate,0.136,ml
fp_v1,comp3,42,test,rule_auc,0.7031,ml
fp_v1,comp3,42,test,lift_top10,3.7341,ml
fp_v1,comp3,42,test,n_test,5200.0,ml
fp_v1,comp3,42,test,pos_test,707.0,ml
fp_v1,comp4,7,test,auc,0.9688,ml
fp_v1,comp4,7,test,pr_auc,0.5614,ml
fp_v1,comp4,7,test,base_rate,0.0303,ml
fp_v1,comp4,7,test,rule_auc,0.789,ml
fp_v1,comp4,7,test,lift_top10,8.7121,ml
fp_v1,comp4,7,test,n_test,8700.0,ml
fp_v1,comp4,7,test,pos_test,264.0,ml
fp_v1,comp4,8,test,auc,0.958,ml
fp_v1,comp4,8,test,pr_auc,0.5464,ml
fp_v1,comp4,8,test,base_rate,0.0347,ml
fp_v1,comp4,8,test,rule_auc,0.7866,ml
fp_v1,comp4,8,test,lift_top10,8.0872,ml
fp_v1,comp4,8,test,n_test,8600.0,ml
fp_v1,comp4,8,test,pos_test,298.0,ml
fp_v1,comp4,14,test,auc,0.9149,ml
fp_v1,comp4,14,test,pr_auc,0.4504,ml
fp_v1,comp4,14,test,base_rate,0.0617,ml
fp_v1,comp4,14,test,rule_auc,0.7768,ml
fp_v1,comp4,14,test,lift_top10,5.7895,ml
fp_v1,comp4,14,test,n_test,8000.0,ml
fp_v1,comp4,14,test,pos_test,494.0,ml
fp_v1,comp4,16,test,auc,0.8918,ml
fp_v1,comp4,16,test,pr_auc,0.3594,ml
fp_v1,comp4,16,test,base_rate,0.0715,ml
fp_v1,comp4,16,test,rule_auc,0.7733,ml
fp_v1,comp4,16,test,lift_top10,4.5341,ml
fp_v1,comp4,16,test,n_test,7800.0,ml
fp_v1,comp4,16,test,pos_test,558.0,ml
fp_v1,comp4,21,test,auc,0.8962,ml
fp_v1,comp4,21,test,pr_auc,0.3978,ml
fp_v1,comp4,21,test,base_rate,0.094,ml
fp_v1,comp4,21,test,rule_auc,0.7654,ml
fp_v1,comp4,21,test,lift_top10,4.1691,ml
fp_v1,comp4,21,test,n_test,7300.0,ml
fp_v1,comp4,21,test,pos_test,686.0,ml
fp_v1,comp4,24,test,auc,0.8952,ml
fp_v1,comp4,24,test,pr_auc,0.418,ml
fp_v1,comp4,24,test,base_rate,0.107,ml
fp_v1,comp4,24,test,rule_auc,0.76,ml
fp_v1,comp4,24,test,lift_top10,4.1923,ml
fp_v1,comp4,24,test,n_test,7000.0,ml
fp_v1,comp4,24,test,pos_test,749.0,ml
fp_v1,comp4,28,test,auc,0.8926,ml
fp_v1,comp4,28,test,pr_auc,0.4464,ml
