machineID,component,date,fail_date,is_emergency,label_version
1,comp2,2014-06-01,,0,label_v1
6,comp2,2014-06-01,,0,label_v1
9,comp1,2014-06-01,,0,label_v1
9,comp2,2014-06-01,,0,label_v1
11,comp2,2014-06-01,,0,label_v1
16,comp4,2014-06-01,,0,label_v1
18,comp3,2014-06-01,,0,label_v1
19,comp4,2014-06-01,,0,label_v1
20,comp1,2014-06-01,,0,label_v1
20,comp2,2014-06-01,,0,label_v1
21,comp3,2014-06-01,,0,label_v1
26,comp2,2014-06-01,,0,label_v1
37,comp2,2014-06-01,,0,label_v1
39,comp1,2014-06-01,,0,label_v1
40,comp2,2014-06-01,,0,label_v1
41,comp2,2014-06-01,,0,label_v1
47,comp4,2014-06-01,,0,label_v1
48,comp3,2014-06-01,,0,label_v1
52,comp2,2014-06-01,,0,label_v1
54,comp3,2014-06-01,,0,label_v1
56,comp4,2014-06-01,,0,label_v1
60,comp1,2014-06-01,,0,label_v1
65,comp2,2014-06-01,,0,label_v1
74,comp4,2014-06-01,,0,label_v1
75,comp3,2014-06-01,,0,label_v1
79,comp2,2014-06-01,,0,label_v1
81,comp2,2014-06-01,,0,label_v1
84,comp4,2014-06-01,,0,label_v1
86,comp2,2014-06-01,,0,label_v1
93,comp3,2014-06-01,,0,label_v1
95,comp4,2014-06-01,,0,label_v1
96,comp1,2014-06-01,,0,label_v1
2,comp1,2014-06-16,,0,label_v1
3,comp3,2014-06-16,,0,label_v1
4,comp2,2014-06-16,,0,label_v1
10,comp3,2014-06-16,,0,label_v1
13,comp1,2014-06-16,,0,label_v1
15,comp1,2014-06-16,,0,label_v1
18,comp4,2014-06-16,,0,label_v1
22,comp3,2014-06-16,,0,label_v1
25,comp3,2014-06-16,,0,label_v1
26,comp3,2014-06-16,,0,label_v1
28,comp1,2014-06-16,,0,label_v1
34,comp4,2014-06-16,,0,label_v1
35,comp4,2014-06-16,,0,label_v1
39,comp4,2014-06-16,,0,label_v1
43,comp2,2014-06-16,,0,label_v1
44,comp3,2014-06-16,,0,label_v1
46,comp3,2014-06-16,,0,label_v1
46,comp4,2014-06-16,,0,label_v1
51,comp2,2014-06-16,,0,label_v1
55,comp1,2014-06-16,,0,label_v1
55,comp4,2014-06-16,,0,label_v1
57,comp2,2014-06-16,,0,label_v1
61,comp4,2014-06-16,,0,label_v1
78,comp1,2014-06-16,,0,label_v1
82,comp3,2014-06-16,,0,label_v1
84,comp2,2014-06-16,,0,label_v1
85,comp3,2014-06-16,,0,label_v1
86,comp3,2014-06-16,,0,label_v1
90,comp3,2014-06-16,,0,label_v1
92,comp1,2014-06-16,,0,label_v1
95,comp1,2014-06-16,,0,label_v1
3,comp4,2014-07-01,,0,label_v1
7,comp1,2014-07-01,,0,label_v1
7,comp3,2014-07-01,,0,label_v1
19,comp1,2014-07-01,,0,label_v1
20,comp4,2014-07-01,,0,label_v1
24,comp2,2014-07-01,,0,label_v1
28,comp3,2014-07-01,,0,label_v1
30,comp1,2014-07-01,,0,label_v1
30,comp4,2014-07-01,,0,label_v1
42,comp3,2014-07-01,,0,label_v1
50,comp2,2014-07-01,,0,label_v1
54,comp2,2014-07-01,,0,label_v1
58,comp4,2014-07-01,,0,label_v1
61,comp1,2014-07-01,,0,label_v1
67,comp1,2014-07-01,,0,label_v1
70,comp4,2014-07-01,,0,label_v1
73,comp4,2014-07-01,,0,label_v1
76,comp2,2014-07-01,,0,label_v1
78,comp2,2014-07-01,,0,label_v1
81,comp3,2014-07-01,,0,label_v1
86,comp4,2014-07-01,,0,label_v1
88,comp2,2014-07-01,,0,label_v1
91,comp3,2014-07-01,,0,label_v1
95,comp3,2014-07-01,,0,label_v1
97,comp1,2014-07-01,,0,label_v1
97,comp2,2014-07-01,,0,label_v1
97,comp4,2014-07-01,,0,label_v1
1,comp4,2014-07-16,,0,label_v1
2,comp3,2014-07-16,,0,label_v1
11,comp1,2014-07-16,,0,label_v1
11,comp3,2014-07-16,,0,label_v1
14,comp4,2014-07-16,,0,label_v1
29,comp3,2014-07-16,,0,label_v1
31,comp1,2014-07-16,,0,label_v1
36,comp1,2014-07-16,,0,label_v1
36,comp4,2014-07-16,,0,label_v1
38,comp2,2014-07-16,,0,label_v1
42,comp4,2014-07-16,,0,label_v1
43,comp1,2014-07-16,,0,label_v1
44,comp2,2014-07-16,,0,label_v1
59,comp2,2014-07-16,,0,label_v1
60,comp2,2014-07-16,,0,label_v1
63,comp1,2014-07-16,,0,label_v1
63,comp4,2014-07-16,,0,label_v1
64,comp4,2014-07-16,,0,label_v1
65,comp3,2014-07-16,,0,label_v1
66,comp3,2014-07-16,,0,label_v1
69,comp2,2014-07-16,,0,label_v1
69,comp3,2014-07-16,,0,label_v1
73,comp1,2014-07-16,,0,label_v1
79,comp4,2014-07-16,,0,label_v1
81,comp1,2014-07-16,,0,label_v1
81,comp4,2014-07-16,,0,label_v1
82,comp1,2014-07-16,,0,label_v1
85,comp1,2014-07-16,,0,label_v1
93,comp1,2014-07-16,,0,label_v1
94,comp1,2014-07-16,,0,label_v1
99,comp4,2014-07-16,,0,label_v1
1,comp3,2014-07-31,,0,label_v1
4,comp1,2014-07-31,,0,label_v1
12,comp3,2014-07-31,,0,label_v1
14,comp1,2014-07-31,,0,label_v1
30,comp3,2014-07-31,,0,label_v1
32,comp3,2014-07-31,,0,label_v1
34,comp1,2014-07-31,,0,label_v1
35,comp2,2014-07-31,,0,label_v1
41,comp4,2014-07-31,,0,label_v1
43,comp3,2014-07-31,,0,label_v1
47,comp1,2014-07-31,,0,label_v1
49,comp3,2014-07-31,,0,label_v1
56,comp2,2014-07-31,,0,label_v1
61,comp2,2014-07-31,,0,label_v1
70,comp2,2014-07-31,,0,label_v1
71,comp4,2014-07-31,,0,label_v1
72,comp1,2014-07-31,,0,label_v1
77,comp3,2014-07-31,,0,label_v1
88,comp4,2014-07-31,,0,label_v1
89,comp2,2014-07-31,,0,label_v1
2,comp2,2014-08-15,,0,label_v1
3,comp1,2014-08-15,,0,label_v1
5,comp3,2014-08-15,,0,label_v1
7,comp2,2014-08-15,,0,label_v1
12,comp2,2014-08-15,,0,label_v1
15,comp2,2014-08-15,,0,label_v1
17,comp3,2014-08-15,,0,label_v1
18,comp2,2014-08-15,,0,label_v1
19,comp2,2014-08-15,,0,label_v1
22,comp2,2014-08-15,,0,label_v1
24,comp4,2014-08-15,,0,label_v1
27,comp1,2014-08-15,,0,label_v1
29,comp4,2014-08-15,,0,label_v1
31,comp2,2014-08-15,,0,label_v1
31,comp4,2014-08-15,,0,label_v1
37,comp4,2014-08-15,,0,label_v1
40,comp3,2014-08-15,,0,label_v1
41,comp3,2014-08-15,,0,label_v1
57,comp3,2014-08-15,,0,label_v1
57,comp4,2014-08-15,,0,label_v1
58,comp3,2014-08-15,,0,label_v1
59,comp3,2014-08-15,,0,label_v1
62,comp4,2014-08-15,,0,label_v1
78,comp4,2014-08-15,,0,label_v1
85,comp4,2014-08-15,,0,label_v1
96,comp2,2014-08-15,,0,label_v1
96,comp3,2014-08-15,,0,label_v1
96,comp4,2014-08-15,,0,label_v1
5,comp2,2014-08-30,,0,label_v1
8,comp3,2014-08-30,,0,label_v1
10,comp2,2014-08-30,,0,label_v1
12,comp4,2014-08-30,,0,label_v1
13,comp4,2014-08-30,,0,label_v1
