component,horizon_days,feature,gain
comp1,7,volt_mean,4138.106934070587
comp1,7,volt_std,25.20028066635132
comp1,7,rotate_mean,99.69149780273438
comp1,7,rotate_std,0.0
comp1,7,pressure_mean,0.0
comp1,7,pressure_std,0.0
comp1,7,vibration_mean,75.25251913070679
comp1,7,vibration_std,0.0
comp1,7,n_obs,0.0
comp1,7,was_missing,0.0
comp1,7,volt_m3,522.0278959274292
comp1,7,volt_s3,219.95390844345093
comp1,7,volt_m7,226.99040269851685
comp1,7,volt_s7,267.80676460266113
comp1,7,volt_m14,179.30911874771118
comp1,7,volt_s14,194.81101894378662
comp1,7,volt_m30,502.0367670059204
comp1,7,volt_s30,582.9703903198242
comp1,7,volt_trend,126.59006023406982
comp1,7,volt_z,135.21065139770508
comp1,7,volt_rng7,128.3650393486023
comp1,7,rotate_m3,100.11352157592773
comp1,7,rotate_s3,98.74620246887207
comp1,7,rotate_m7,79.21644020080566
comp1,7,rotate_s7,283.0282497406006
comp1,7,rotate_m14,222.0585904121399
comp1,7,rotate_s14,170.80331230163574
comp1,7,rotate_m30,263.2523880004883
comp1,7,rotate_s30,481.03951120376587
comp1,7,rotate_trend,133.2874002456665
comp1,7,rotate_z,88.97801065444946
comp1,7,rotate_rng7,193.96478986740112
comp1,7,pressure_m3,34.48794984817505
comp1,7,pressure_s3,34.80306053161621
comp1,7,pressure_m7,144.3087387084961
comp1,7,pressure_s7,176.0587511062622
comp1,7,pressure_m14,477.55751514434814
comp1,7,pressure_s14,244.1220064163208
comp1,7,pressure_m30,352.38403940200806
comp1,7,pressure_s30,574.0469636917114
comp1,7,pressure_trend,205.41702222824097
comp1,7,pressure_z,160.39265060424805
comp1,7,pressure_rng7,392.4326605796814
comp1,7,vibration_m3,24.617989540100098
comp1,7,vibration_s3,119.26113080978394
comp1,7,vibration_m7,84.36111974716187
comp1,7,vibration_s7,401.76012420654297
comp1,7,vibration_m14,330.611487865448
comp1,7,vibration_s14,441.9980525970459
comp1,7,vibration_m30,354.58427381515503
comp1,7,vibration_s30,693.0688142776489
comp1,7,vibration_trend,240.52269077301025
comp1,7,vibration_z,115.35682201385498
comp1,7,vibration_rng7,247.43434858322144
comp1,7,err_any,591.7094707489014
comp1,7,error1_7d,168.48098182678223
comp1,7,error2_7d,10.623800277709961
comp1,7,error3_7d,0.0
comp1,7,error4_7d,0.0
comp1,7,error5_7d,0.0
comp1,7,err_any_7d,16.27489995956421
comp1,7,error1_30d,95.33754920959473
comp1,7,error2_30d,54.164010524749756
comp1,7,error3_30d,42.458760261535645
comp1,7,error4_30d,237.6025447845459
comp1,7,error5_30d,93.62069892883301
comp1,7,err_any_30d,191.22543001174927
comp1,7,dsr_comp1,11083.666838645935
comp1,7,dsf_comp1,822.911563873291
comp1,7,dsr_comp2,3012.539023399353
comp1,7,dsf_comp2,570.6227717399597
comp1,7,dsr_comp3,2889.233290195465
comp1,7,dsf_comp3,274.01099824905396
comp1,7,dsr_comp4,2612.5801753997803
comp1,7,dsf_comp4,553.1045918464661
comp1,7,dsr_comp1_per_age,1113.2105975151062
comp1,7,dsr_comp2_per_age,965.2143177986145
comp1,7,dsr_comp3_per_age,500.2530245780945
comp1,7,dsr_comp4_per_age,707.0429086685181
comp1,8,volt_mean,3708.4924182891846
comp1,8,volt_std,14.55210018157959
comp1,8,rotate_mean,0.0
comp1,8,rotate_std,7.8531999588012695
comp1,8,pressure_mean,0.0
comp1,8,pressure_std,0.0
comp1,8,vibration_mean,21.976709842681885
comp1,8,vibration_std,7.6095099449157715
comp1,8,n_obs,0.0
comp1,8,was_missing,0.0
comp1,8,volt_m3,104.66059970855713
comp1,8,volt_s3,174.7212429046631
comp1,8,volt_m7,270.92499113082886
comp1,8,volt_s7,330.2487292289734
comp1,8,volt_m14,393.2297101020813
comp1,8,volt_s14,416.73730516433716
comp1,8,volt_m30,550.6689562797546
comp1,8,volt_s30,1081.7864747047424
comp1,8,volt_trend,57.9562406539917
comp1,8,volt_z,184.19493055343628
comp1,8,volt_rng7,146.75568008422852
comp1,8,rotate_m3,7.558770179748535
comp1,8,rotate_s3,73.61992883682251
comp1,8,rotate_m7,44.44494915008545
comp1,8,rotate_s7,271.4678282737732
comp1,8,rotate_m14,145.68537998199463
comp1,8,rotate_s14,152.63063049316406
comp1,8,rotate_m30,305.08927631378174
comp1,8,rotate_s30,760.4793925285339
comp1,8,rotate_trend,178.23330974578857
comp1,8,rotate_z,108.61266899108887
comp1,8,rotate_rng7,155.43615007400513
comp1,8,pressure_m3,22.947959899902344
comp1,8,pressure_s3,16.085880279541016
comp1,8,pressure_m7,245.6321792602539
comp1,8,pressure_s7,117.05147171020508
comp1,8,pressure_m14,340.9513282775879
comp1,8,pressure_s14,293.52779054641724
comp1,8,pressure_m30,377.7955627441406
comp1,8,pressure_s30,970.2954425811768
comp1,8,pressure_trend,156.49787998199463
comp1,8,pressure_z,85.857590675354
comp1,8,pressure_rng7,167.9643907546997
comp1,8,vibration_m3,6.96668004989624
comp1,8,vibration_s3,55.531700134277344
comp1,8,vibration_m7,119.67025184631348
comp1,8,vibration_s7,493.3150734901428
comp1,8,vibration_m14,271.30419063568115
comp1,8,vibration_s14,680.0120310783386
comp1,8,vibration_m30,726.7078990936279
comp1,8,vibration_s30,701.8360166549683
comp1,8,vibration_trend,60.992329597473145
comp1,8,vibration_z,194.22379207611084
comp1,8,vibration_rng7,277.0828495025635
comp1,8,err_any,606.0255279541016
comp1,8,error1_7d,99.59506940841675
comp1,8,error2_7d,6.160610198974609
comp1,8,error3_7d,0.0
comp1,8,error4_7d,0.0
comp1,8,error5_7d,0.0
comp1,8,err_any_7d,33.01955986022949
comp1,8,error1_30d,190.91720724105835
comp1,8,error2_30d,92.97577905654907
comp1,8,error3_30d,77.81434059143066
comp1,8,error4_30d,312.1345314979553
comp1,8,error5_30d,207.83494901657104
comp1,8,err_any_30d,196.19599390029907
comp1,8,dsr_comp1,12177.333145141602
comp1,8,dsf_comp1,971.6234679222107
comp1,8,dsr_comp2,2706.7896251678467
comp1,8,dsf_comp2,843.6300230026245
comp1,8,dsr_comp3,3007.630431652069
comp1,8,dsf_comp3,523.004846572876
comp1,8,dsr_comp4,2684.6671233177185
comp1,8,dsf_comp4,579.5446672439575
comp1,8,dsr_comp1_per_age,1413.1044826507568
comp1,8,dsr_comp2_per_age,1482.089548110962
comp1,8,dsr_comp3_per_age,724.169020652771
comp1,8,dsr_comp4_per_age,748.6308579444885
comp1,14,volt_mean,2698.2254395484924
comp1,14,volt_std,4.902309894561768
comp1,14,rotate_mean,0.0
comp1,14,rotate_std,0.0
comp1,14,pressure_mean,0.0
comp1,14,pressure_std,0.0
comp1,14,vibration_mean,0.0
comp1,14,vibration_std,0.0
comp1,14,n_obs,0.0
comp1,14,was_missing,0.0
comp1,14,volt_m3,321.46050357818604
comp1,14,volt_s3,101.23468017578125
comp1,14,volt_m7,81.58049774169922
comp1,14,volt_s7,136.34870052337646
comp1,14,volt_m14,347.91480588912964
comp1,14,volt_s14,849.9637055397034
comp1,14,volt_m30,951.8401985168457
comp1,14,volt_s30,1634.3271961212158
comp1,14,volt_trend,86.73989963531494
comp1,14,volt_z,82.08019924163818
comp1,14,volt_rng7,185.0341386795044
comp1,14,rotate_m3,6.4152398109436035
comp1,14,rotate_s3,18.999340057373047
comp1,14,rotate_m7,64.8939995765686
comp1,14,rotate_s7,37.12099838256836
comp1,14,rotate_m14,246.5389003753662
comp1,14,rotate_s14,655.9817690849304
comp1,14,rotate_m30,810.5273089408875
comp1,14,rotate_s30,1627.9693055152893
comp1,14,rotate_trend,32.27445983886719
comp1,14,rotate_z,80.46021032333374
comp1,14,rotate_rng7,66.22538185119629
comp1,14,pressure_m3,0.0
comp1,14,pressure_s3,0.0
comp1,14,pressure_m7,86.45704984664917
comp1,14,pressure_s7,66.33313941955566
comp1,14,pressure_m14,592.7425274848938
comp1,14,pressure_s14,539.8818082809448
comp1,14,pressure_m30,1479.7260456085205
comp1,14,pressure_s30,1722.5501947402954
comp1,14,pressure_trend,57.09155988693237
comp1,14,pressure_z,25.655500411987305
comp1,14,pressure_rng7,263.0622019767761
comp1,14,vibration_m3,0.0
comp1,14,vibration_s3,19.155309677124023
comp1,14,vibration_m7,77.55780029296875
comp1,14,vibration_s7,101.51180076599121
comp1,14,vibration_m14,401.7332191467285
comp1,14,vibration_s14,1250.8690042495728
comp1,14,vibration_m30,602.8965930938721
comp1,14,vibration_s30,1385.6939964294434
comp1,14,vibration_trend,75.55377960205078
comp1,14,vibration_z,161.42464351654053
comp1,14,vibration_rng7,194.0098090171814
comp1,14,err_any,246.2246332168579
comp1,14,error1_7d,310.45355701446533
comp1,14,error2_7d,0.0
comp1,14,error3_7d,10.97920036315918
comp1,14,error4_7d,16.70989990234375
comp1,14,error5_7d,0.0
comp1,14,err_any_7d,23.444799423217773
comp1,14,error1_30d,182.43255043029785
comp1,14,error2_30d,308.8548517227173
comp1,14,error3_30d,598.7770571708679
comp1,14,error4_30d,290.295533657074
comp1,14,error5_30d,576.9289374351501
comp1,14,err_any_30d,393.9401173591614
comp1,14,dsr_comp1,17469.09730243683
comp1,14,dsf_comp1,3127.3055415153503
comp1,14,dsr_comp2,1521.573453426361
comp1,14,dsf_comp2,2534.9272441864014
comp1,14,dsr_comp3,2349.526240825653
comp1,14,dsf_comp3,1510.4643545150757
comp1,14,dsr_comp4,2418.7120566368103
comp1,14,dsf_comp4,1945.0531077384949
comp1,14,dsr_comp1_per_age,4142.402145862579
comp1,14,dsr_comp2_per_age,2856.7027101516724
comp1,14,dsr_comp3_per_age,1176.32559299469
comp1,14,dsr_comp4_per_age,1539.3830723762512
comp1,16,volt_mean,2238.2828335762024
comp1,16,volt_std,0.0
comp1,16,rotate_mean,0.0
comp1,16,rotate_std,0.0
comp1,16,pressure_mean,0.0
comp1,16,pressure_std,0.0
comp1,16,vibration_mean,0.0
comp1,16,vibration_std,0.0
comp1,16,n_obs,0.0
comp1,16,was_missing,0.0
comp1,16,volt_m3,385.49344635009766
comp1,16,volt_s3,112.82979965209961
comp1,16,volt_m7,146.25695705413818
comp1,16,volt_s7,21.482080459594727
comp1,16,volt_m14,418.98851680755615
comp1,16,volt_s14,392.84899711608887
comp1,16,volt_m30,778.80739402771
comp1,16,volt_s30,1497.0228395462036
comp1,16,volt_trend,16.663799285888672
comp1,16,volt_z,59.260498046875
comp1,16,volt_rng7,63.22939968109131
comp1,16,rotate_m3,0.0
comp1,16,rotate_s3,0.0
comp1,16,rotate_m7,0.0
comp1,16,rotate_s7,52.60217094421387
comp1,16,rotate_m14,683.4942970275879
comp1,16,rotate_s14,693.1033387184143
comp1,16,rotate_m30,1226.873770236969
comp1,16,rotate_s30,1847.2503294944763
comp1,16,rotate_trend,180.31042861938477
comp1,16,rotate_z,24.985050201416016
comp1,16,rotate_rng7,37.586899757385254
comp1,16,pressure_m3,0.0
comp1,16,pressure_s3,0.0
comp1,16,pressure_m7,76.41699886322021
comp1,16,pressure_s7,119.7674617767334
comp1,16,pressure_m14,449.8905391693115
comp1,16,pressure_s14,569.780195236206
comp1,16,pressure_m30,1458.9520263671875
comp1,16,pressure_s30,1550.5595788955688
comp1,16,pressure_trend,31.044499397277832
comp1,16,pressure_z,93.49720001220703
comp1,16,pressure_rng7,270.56207036972046
comp1,16,vibration_m3,0.0
comp1,16,vibration_s3,11.39210033416748
comp1,16,vibration_m7,106.44969940185547
comp1,16,vibration_s7,101.81383895874023
comp1,16,vibration_m14,400.7851028442383
comp1,16,vibration_s14,1257.1585006713867
comp1,16,vibration_m30,838.9185991287231
comp1,16,vibration_s30,1176.7370491027832
comp1,16,vibration_trend,164.7923984527588
comp1,16,vibration_z,59.74851179122925
comp1,16,vibration_rng7,76.54302024841309
comp1,16,err_any,349.45414113998413
comp1,16,error1_7d,137.2270803451538
comp1,16,error2_7d,0.0
comp1,16,error3_7d,0.0
comp1,16,error4_7d,31.04490089416504
comp1,16,error5_7d,0.0
comp1,16,err_any_7d,55.72269821166992
comp1,16,error1_30d,168.51869869232178
comp1,16,error2_30d,575.0229978561401
comp1,16,error3_30d,627.4448251724243
comp1,16,error4_30d,431.1514401435852
comp1,16,error5_30d,504.56224250793457
comp1,16,err_any_30d,455.0338430404663
comp1,16,dsr_comp1,18746.75980758667
comp1,16,dsf_comp1,3268.477493286133
comp1,16,dsr_comp2,1277.546911239624
comp1,16,dsf_comp2,2486.4173607826233
comp1,16,dsr_comp3,2496.731670856476
comp1,16,dsf_comp3,1425.487382888794
comp1,16,dsr_comp4,2627.105781555176
comp1,16,dsf_comp4,1838.792465686798
comp1,16,dsr_comp1_per_age,3700.330125808716
comp1,16,dsr_comp2_per_age,1777.1572675704956
comp1,16,dsr_comp3_per_age,1204.110571861267
comp1,16,dsr_comp4_per_age,1202.0917048454285
comp1,21,volt_mean,1743.7174053192139
comp1,21,volt_std,0.0
comp1,21,rotate_mean,0.0
comp1,21,rotate_std,0.0
comp1,21,pressure_mean,0.0
comp1,21,pressure_std,0.0
comp1,21,vibration_mean,0.0
comp1,21,vibration_std,0.0
comp1,21,n_obs,0.0
comp1,21,was_missing,0.0
comp1,21,volt_m3,189.70789909362793
comp1,21,volt_s3,0.0
comp1,21,volt_m7,101.48690032958984
comp1,21,volt_s7,239.5378999710083
comp1,21,volt_m14,121.67079734802246
comp1,21,volt_s14,258.5462980270386
comp1,21,volt_m30,1057.3894090652466
comp1,21,volt_s30,1899.3473377227783
comp1,21,volt_trend,66.3311014175415
comp1,21,volt_z,9.577659606933594
comp1,21,volt_rng7,151.27380275726318
comp1,21,rotate_m3,0.0
comp1,21,rotate_s3,0.0
comp1,21,rotate_m7,59.936100006103516
comp1,21,rotate_s7,101.37419891357422
comp1,21,rotate_m14,589.1530017852783
comp1,21,rotate_s14,781.7719469070435
comp1,21,rotate_m30,1092.9887895584106
comp1,21,rotate_s30,1303.520302772522
comp1,21,rotate_trend,135.2642002105713
comp1,21,rotate_z,39.10080051422119
comp1,21,rotate_rng7,247.14062404632568
comp1,21,pressure_m3,0.0
comp1,21,pressure_s3,0.0
comp1,21,pressure_m7,147.26809787750244
comp1,21,pressure_s7,84.27200031280518
comp1,21,pressure_m14,586.7459049224854
comp1,21,pressure_s14,904.7744026184082
comp1,21,pressure_m30,955.4989013671875
comp1,21,pressure_s30,1469.6564798355103
comp1,21,pressure_trend,117.88999938964844
comp1,21,pressure_z,101.02130126953125
comp1,21,pressure_rng7,206.77229976654053
comp1,21,vibration_m3,0.0
comp1,21,vibration_s3,0.0
comp1,21,vibration_m7,50.400400161743164
comp1,21,vibration_s7,193.7676019668579
comp1,21,vibration_m14,365.21516036987305
comp1,21,vibration_s14,862.6413631439209
comp1,21,vibration_m30,777.8960695266724
comp1,21,vibration_s30,1210.889814376831
comp1,21,vibration_trend,35.53940010070801
comp1,21,vibration_z,51.82740116119385
comp1,21,vibration_rng7,92.25359916687012
comp1,21,err_any,207.57719612121582
comp1,21,error1_7d,127.89789962768555
comp1,21,error2_7d,20.537799835205078
comp1,21,error3_7d,12.078499794006348
comp1,21,error4_7d,0.0
comp1,21,error5_7d,0.0
comp1,21,err_any_7d,0.0
comp1,21,error1_30d,187.73119926452637
comp1,21,error2_30d,256.7762975692749
comp1,21,error3_30d,656.5810966491699
comp1,21,error4_30d,582.4626979827881
comp1,21,error5_30d,691.135064125061
comp1,21,err_any_30d,877.7746000289917
comp1,21,dsr_comp1,19934.637537002563
comp1,21,dsf_comp1,2814.5358934402466
comp1,21,dsr_comp2,1346.1769227981567
comp1,21,dsf_comp2,3181.270007133484
comp1,21,dsr_comp3,2545.2063999176025
comp1,21,dsf_comp3,1698.3639888763428
comp1,21,dsr_comp4,3465.892397880554
comp1,21,dsf_comp4,1892.6657009124756
comp1,21,dsr_comp1_per_age,3886.010376930237
comp1,21,dsr_comp2_per_age,1753.1724796295166
