부품,기간,모델,AUC,PR_AUC,Lift,초
comp1,8,[기준선] 경과일,0.746,0.058,2.235,0.0
comp1,8,로지스틱회귀,0.658,0.129,3.106,0.2
comp1,8,랜덤포레스트,0.86,0.312,3.939,2.4
comp1,8,LightGBM,0.887,0.303,4.394,1.0
comp1,8,신경망(MLP),0.713,0.138,3.068,3.2
comp2,42,[기준선] 경과일,0.597,0.37,1.268,0.0
comp2,42,로지스틱회귀,0.578,0.396,1.52,0.1
comp2,42,랜덤포레스트,0.595,0.396,1.2,2.8
comp2,42,LightGBM,0.58,0.37,1.077,1.0
comp2,42,신경망(MLP),0.527,0.357,1.323,4.2
comp3,16,[기준선] 경과일,0.803,0.132,2.475,0.0
comp3,16,로지스틱회귀,0.794,0.203,4.369,0.2
comp3,16,랜덤포레스트,0.945,0.451,6.414,2.2
comp3,16,LightGBM,0.937,0.345,5.808,1.0
comp3,16,신경망(MLP),0.726,0.138,3.03,4.3
comp4,24,[기준선] 경과일,0.76,0.243,1.776,0.0
comp4,24,로지스틱회귀,0.866,0.372,3.658,0.3
comp4,24,랜덤포레스트,0.919,0.526,4.82,2.5
comp4,24,LightGBM,0.901,0.499,4.299,1.1
comp4,24,신경망(MLP),0.793,0.257,2.483,8.6
