model_version,component,horizon_days,split,metric,value,source
fp_v1,comp1,7,test,auc,0.9151,ml
fp_v1,comp1,7,test,pr_auc,0.3245,ml
fp_v1,comp1,7,test,base_rate,0.027,ml
fp_v1,comp1,7,test,rule_auc,0.749,ml
fp_v1,comp1,7,test,lift_top10,5.9149,ml
fp_v1,comp1,7,test,n_test,8700.0,ml
fp_v1,comp1,7,test,pos_test,235.0,ml
fp_v1,comp1,8,test,auc,0.8911,ml
fp_v1,comp1,8,test,pr_auc,0.2892,ml
fp_v1,comp1,8,test,base_rate,0.0307,ml
fp_v1,comp1,8,test,rule_auc,0.7461,ml
fp_v1,comp1,8,test,lift_top10,5.0,ml
fp_v1,comp1,8,test,n_test,8600.0,ml
fp_v1,comp1,8,test,pos_test,264.0,ml
fp_v1,comp1,14,test,auc,0.7779,ml
fp_v1,comp1,14,test,pr_auc,0.134,ml
fp_v1,comp1,14,test,base_rate,0.0529,ml
fp_v1,comp1,14,test,rule_auc,0.7341,ml
fp_v1,comp1,14,test,lift_top10,2.6241,ml
fp_v1,comp1,14,test,n_test,8000.0,ml
fp_v1,comp1,14,test,pos_test,423.0,ml
fp_v1,comp1,16,test,auc,0.7692,ml
fp_v1,comp1,16,test,pr_auc,0.1475,ml
fp_v1,comp1,16,test,base_rate,0.0604,ml
fp_v1,comp1,16,test,rule_auc,0.7304,ml
fp_v1,comp1,16,test,lift_top10,2.7176,ml
fp_v1,comp1,16,test,n_test,7800.0,ml
fp_v1,comp1,16,test,pos_test,471.0,ml
fp_v1,comp1,21,test,auc,0.7252,ml
fp_v1,comp1,21,test,pr_auc,0.1494,ml
fp_v1,comp1,21,test,base_rate,0.08,ml
fp_v1,comp1,21,test,rule_auc,0.719,ml
fp_v1,comp1,21,test,lift_top10,2.1575,ml
fp_v1,comp1,21,test,n_test,7300.0,ml
fp_v1,comp1,21,test,pos_test,584.0,ml
fp_v1,comp1,24,test,auc,0.7045,ml
fp_v1,comp1,24,test,pr_auc,0.1803,ml
fp_v1,comp1,24,test,base_rate,0.0923,ml
fp_v1,comp1,24,test,rule_auc,0.7119,ml
fp_v1,comp1,24,test,lift_top10,1.6254,ml
fp_v1,comp1,24,test,n_test,7000.0,ml
fp_v1,comp1,24,test,pos_test,646.0,ml
fp_v1,comp1,28,test,auc,0.6932,ml
fp_v1,comp1,28,test,pr_auc,0.1883,ml
fp_v1,comp1,28,test,base_rate,0.1089,ml
fp_v1,comp1,28,test,rule_auc,0.7009,ml
fp_v1,comp1,28,test,lift_top10,1.7385,ml
fp_v1,comp1,28,test,n_test,6600.0,ml
fp_v1,comp1,28,test,pos_test,719.0,ml
fp_v1,comp1,35,test,auc,0.6017,ml
fp_v1,comp1,35,test,pr_auc,0.165,ml
fp_v1,comp1,35,test,base_rate,0.1397,ml
fp_v1,comp1,35,test,rule_auc,0.6812,ml
fp_v1,comp1,35,test,lift_top10,1.1529,ml
fp_v1,comp1,35,test,n_test,5900.0,ml
fp_v1,comp1,35,test,pos_test,824.0,ml
fp_v1,comp1,42,test,auc,0.5825,ml
fp_v1,comp1,42,test,pr_auc,0.2047,ml
fp_v1,comp1,42,test,base_rate,0.1665,ml
fp_v1,comp1,42,test,rule_auc,0.655,ml
fp_v1,comp1,42,test,lift_top10,1.3164,ml
fp_v1,comp1,42,test,n_test,5200.0,ml
fp_v1,comp1,42,test,pos_test,866.0,ml
fp_v1,comp2,7,test,auc,0.9084,ml
fp_v1,comp2,7,test,pr_auc,0.4842,ml
fp_v1,comp2,7,test,base_rate,0.0551,ml
fp_v1,comp2,7,test,rule_auc,0.6759,ml
fp_v1,comp2,7,test,lift_top10,5.1775,ml
fp_v1,comp2,7,test,n_test,8700.0,ml
fp_v1,comp2,7,test,pos_test,479.0,ml
fp_v1,comp2,8,test,auc,0.8887,ml
fp_v1,comp2,8,test,pr_auc,0.4549,ml
fp_v1,comp2,8,test,base_rate,0.0629,ml
fp_v1,comp2,8,test,rule_auc,0.6739,ml
fp_v1,comp2,8,test,lift_top10,4.5841,ml
fp_v1,comp2,8,test,n_test,8600.0,ml
fp_v1,comp2,8,test,pos_test,541.0,ml
fp_v1,comp2,14,test,auc,0.748,ml
fp_v1,comp2,14,test,pr_auc,0.3272,ml
fp_v1,comp2,14,test,base_rate,0.1123,ml
fp_v1,comp2,14,test,rule_auc,0.6611,ml
fp_v1,comp2,14,test,lift_top10,2.6837,ml
fp_v1,comp2,14,test,n_test,8000.0,ml
fp_v1,comp2,14,test,pos_test,898.0,ml
fp_v1,comp2,16,test,auc,0.7077,ml
fp_v1,comp2,16,test,pr_auc,0.305,ml
fp_v1,comp2,16,test,base_rate,0.1282,ml
fp_v1,comp2,16,test,rule_auc,0.6572,ml
fp_v1,comp2,16,test,lift_top10,2.29,ml
fp_v1,comp2,16,test,n_test,7800.0,ml
fp_v1,comp2,16,test,pos_test,1000.0,ml
fp_v1,comp2,21,test,auc,0.6752,ml
fp_v1,comp2,21,test,pr_auc,0.3053,ml
fp_v1,comp2,21,test,base_rate,0.1673,ml
fp_v1,comp2,21,test,rule_auc,0.6449,ml
fp_v1,comp2,21,test,lift_top10,2.0557,ml
fp_v1,comp2,21,test,n_test,7300.0,ml
fp_v1,comp2,21,test,pos_test,1221.0,ml
fp_v1,comp2,24,test,auc,0.6661,ml
fp_v1,comp2,24,test,pr_auc,0.322,ml
fp_v1,comp2,24,test,base_rate,0.189,ml
fp_v1,comp2,24,test,rule_auc,0.634,ml
fp_v1,comp2,24,test,lift_top10,2.0559,ml
fp_v1,comp2,24,test,n_test,7000.0,ml
fp_v1,comp2,24,test,pos_test,1323.0,ml
fp_v1,comp2,28,test,auc,0.6266,ml
fp_v1,comp2,28,test,pr_auc,0.3109,ml
fp_v1,comp2,28,test,base_rate,0.2179,ml
fp_v1,comp2,28,test,rule_auc,0.6156,ml
fp_v1,comp2,28,test,lift_top10,1.8707,ml
fp_v1,comp2,28,test,n_test,6600.0,ml
fp_v1,comp2,28,test,pos_test,1438.0,ml
fp_v1,comp2,35,test,auc,0.6087,ml
fp_v1,comp2,35,test,pr_auc,0.3595,ml
fp_v1,comp2,35,test,base_rate,0.2659,ml
fp_v1,comp2,35,test,rule_auc,0.6078,ml
fp_v1,comp2,35,test,lift_top10,1.6252,ml
fp_v1,comp2,35,test,n_test,5900.0,ml
fp_v1,comp2,35,test,pos_test,1569.0,ml
fp_v1,comp2,42,test,auc,0.6042,ml
fp_v1,comp2,42,test,pr_auc,0.3594,ml
fp_v1,comp2,42,test,base_rate,0.3125,ml
fp_v1,comp2,42,test,rule_auc,0.5965,ml
fp_v1,comp2,42,test,lift_top10,1.0338,ml
fp_v1,comp2,42,test,n_test,5200.0,ml
fp_v1,comp2,42,test,pos_test,1625.0,ml
fp_v1,comp3,7,test,auc,0.9772,ml
fp_v1,comp3,7,test,pr_auc,0.4933,ml
fp_v1,comp3,7,test,base_rate,0.021,ml
fp_v1,comp3,7,test,rule_auc,0.8187,ml
fp_v1,comp3,7,test,lift_top10,9.8361,ml
