as_of,machineID,component,risk_rise_from_days,risk_rise_to_days,risk_rise_mid_days,decision_horizon_days,p_at_decision_horizon,model_version,calibrated
2015-10-05,1,comp1,18.614540466750302,36.84607033561481,29.72034885404648,8,0.0033280020475249727,fp_v1,False
2015-10-05,1,comp2,15.018491590694893,38.597557579788806,27.134334243349652,42,0.3617166174309084,fp_v1,False
2015-10-05,1,comp3,3.4275488211768534,15.25204986017389,14.130124650434727,16,0.04456624241856511,fp_v1,False
2015-10-05,1,comp4,8.738517578599351,38.97472693597891,13.419109571607782,24,0.03932108667875842,fp_v1,False
2015-10-05,2,comp1,17.983019059484196,37.231534169554976,28.03552258585234,8,0.014688831426864809,fp_v1,False
2015-10-05,2,comp2,21.726166526226212,39.48650115053109,35.716252876327715,42,0.7314359883367246,fp_v1,False
2015-10-05,2,comp3,3.776643291600342,15.306669455960588,14.26667363990147,16,0.049744615663166944,fp_v1,False
2015-10-05,2,comp4,7.6241209218735335,12.33956742668419,9.848918566710475,24,0.040249763904422815,fp_v1,False
2015-10-05,3,comp1,17.990764426250973,33.21591395779006,28.253823752477146,8,0.003055097005419557,fp_v1,False
2015-10-05,3,comp2,21.03789598098021,29.638455385898745,25.6566749544346,42,0.20820849572728717,fp_v1,False
2015-10-05,3,comp3,3.4035088871069026,15.245814896565944,14.11453724141486,16,0.04396018613921383,fp_v1,False
2015-10-05,3,comp4,7.583223598430371,12.321555429574882,9.803888573937208,24,0.03899099125950649,fp_v1,False
2015-10-05,4,comp1,11.671600046284794,34.98643649206815,24.018201883374005,8,0.0035599023515897137,fp_v1,False
2015-10-05,4,comp2,9.300598652241545,13.669382700423782,11.484990676332663,42,0.312626719482506,fp_v1,False
2015-10-05,4,comp3,3.4035088871069026,15.245814896565944,14.11453724141486,16,0.04396018613921383,fp_v1,False
2015-10-05,4,comp4,7.592206150923305,12.318741598460015,9.796853996150038,24,0.03899099125950649,fp_v1,False
2015-10-05,5,comp1,18.510676878997053,35.08134287508161,28.879279255180542,8,0.00373279747800787,fp_v1,False
2015-10-05,5,comp2,1.4689985282285327,5.875994112914131,3.672496320571332,42,0.5006466562068971,fp_v1,False
2015-10-05,5,comp3,3.39997233430637,15.246183024135913,14.115457560339781,16,0.04400422722457172,fp_v1,False
2015-10-05,5,comp4,7.600030025052945,12.323226050515759,9.808065126289398,24,0.039252754056221105,fp_v1,False
2015-10-05,6,comp1,8.987758669527096,15.508721319348506,14.326615122883815,8,0.03944110838072686,fp_v1,False
2015-10-05,6,comp2,8.318879411606835,28.473345150422567,21.60212702141681,42,0.2167401418441932,fp_v1,False
2015-10-05,6,comp3,3.4035088871069026,15.245814896565944,14.11453724141486,16,0.04396018613921383,fp_v1,False
2015-10-05,6,comp4,7.584555204886838,12.319626963269437,9.799067408173592,24,0.040249763904422815,fp_v1,False
2015-10-05,7,comp1,18.597126452546615,35.508400891987996,29.451929211122913,8,0.004432269200868868,fp_v1,False
2015-10-05,7,comp2,7.301599803994657,19.684104002170823,17.224508823558473,42,0.416649915112196,fp_v1,False
2015-10-05,7,comp3,3.39997233430637,15.245443712607795,14.113609281519485,16,0.04400422722457172,fp_v1,False
