model,machineID,start,end,duration_hours
Isolation Forest,1,2015-11-04 12:00:00,2015-11-04 12:00:00,1.0
Isolation Forest,1,2015-11-05 06:00:00,2015-11-05 06:00:00,1.0
Isolation Forest,1,2015-11-27 02:00:00,2015-11-27 02:00:00,1.0
Isolation Forest,1,2015-11-27 19:00:00,2015-11-27 19:00:00,1.0
Isolation Forest,1,2015-11-27 22:00:00,2015-11-27 23:00:00,2.0
Isolation Forest,1,2015-12-02 03:00:00,2015-12-02 09:00:00,7.0
Isolation Forest,1,2015-12-02 11:00:00,2015-12-02 14:00:00,4.0
Isolation Forest,1,2015-12-02 17:00:00,2015-12-02 18:00:00,2.0
Isolation Forest,1,2015-12-03 01:00:00,2015-12-03 01:00:00,1.0
Isolation Forest,1,2015-12-03 07:00:00,2015-12-03 17:00:00,11.0
Isolation Forest,1,2015-12-04 17:00:00,2015-12-04 17:00:00,1.0
Isolation Forest,1,2015-12-09 10:00:00,2015-12-09 10:00:00,1.0
Isolation Forest,1,2015-12-15 10:00:00,2015-12-15 10:00:00,1.0
Isolation Forest,1,2015-12-16 06:00:00,2015-12-16 07:00:00,2.0
Isolation Forest,2,2015-11-21 23:00:00,2015-11-21 23:00:00,1.0
Isolation Forest,2,2015-11-24 05:00:00,2015-11-24 08:00:00,4.0
Isolation Forest,2,2015-11-24 10:00:00,2015-11-24 10:00:00,1.0
Isolation Forest,2,2015-11-24 12:00:00,2015-11-24 12:00:00,1.0
Isolation Forest,2,2015-11-24 15:00:00,2015-11-24 18:00:00,4.0
Isolation Forest,2,2015-11-24 21:00:00,2015-11-24 21:00:00,1.0
Isolation Forest,2,2015-11-25 00:00:00,2015-11-25 01:00:00,2.0
Isolation Forest,2,2015-12-13 19:00:00,2015-12-14 00:00:00,6.0
Isolation Forest,2,2015-12-14 02:00:00,2015-12-14 03:00:00,2.0
Isolation Forest,2,2015-12-14 06:00:00,2015-12-15 12:00:00,31.0
Isolation Forest,2,2015-12-15 15:00:00,2015-12-15 16:00:00,2.0
Isolation Forest,2,2015-12-15 20:00:00,2015-12-15 20:00:00,1.0
Isolation Forest,2,2015-12-16 00:00:00,2015-12-16 00:00:00,1.0
Isolation Forest,2,2015-12-27 20:00:00,2015-12-27 20:00:00,1.0
Isolation Forest,2,2015-12-28 00:00:00,2015-12-28 00:00:00,1.0
Isolation Forest,2,2015-12-28 03:00:00,2015-12-28 03:00:00,1.0
Isolation Forest,2,2015-12-28 06:00:00,2015-12-28 06:00:00,1.0
Isolation Forest,2,2015-12-29 04:00:00,2015-12-29 04:00:00,1.0
Isolation Forest,2,2015-12-30 10:00:00,2015-12-30 10:00:00,1.0
Isolation Forest,3,2015-10-29 09:00:00,2015-10-29 09:00:00,1.0
Isolation Forest,3,2015-11-08 12:00:00,2015-11-08 12:00:00,1.0
Isolation Forest,3,2015-11-25 18:00:00,2015-11-25 18:00:00,1.0
Isolation Forest,3,2015-11-27 01:00:00,2015-11-27 02:00:00,2.0
Isolation Forest,3,2015-11-27 12:00:00,2015-11-27 12:00:00,1.0
Isolation Forest,3,2015-11-27 16:00:00,2015-11-27 16:00:00,1.0
Isolation Forest,3,2015-12-01 14:00:00,2015-12-01 14:00:00,1.0
Isolation Forest,3,2015-12-02 10:00:00,2015-12-02 10:00:00,1.0
Isolation Forest,4,2015-11-01 21:00:00,2015-11-01 21:00:00,1.0
Isolation Forest,4,2015-11-02 01:00:00,2015-11-02 01:00:00,1.0
Isolation Forest,4,2015-11-09 16:00:00,2015-11-09 16:00:00,1.0
Isolation Forest,4,2015-11-09 20:00:00,2015-11-09 20:00:00,1.0
Isolation Forest,4,2015-11-10 05:00:00,2015-11-10 05:00:00,1.0
Isolation Forest,4,2015-11-10 08:00:00,2015-11-10 08:00:00,1.0
Isolation Forest,4,2015-11-10 10:00:00,2015-11-10 10:00:00,1.0
Isolation Forest,4,2015-11-10 16:00:00,2015-11-10 16:00:00,1.0
Isolation Forest,4,2015-11-10 22:00:00,2015-11-10 23:00:00,2.0
Isolation Forest,4,2015-11-11 03:00:00,2015-11-11 03:00:00,1.0
Isolation Forest,4,2015-11-11 06:00:00,2015-11-11 07:00:00,2.0
Isolation Forest,4,2015-11-11 15:00:00,2015-11-11 15:00:00,1.0
Isolation Forest,4,2015-11-11 18:00:00,2015-11-11 18:00:00,1.0
Isolation Forest,4,2015-11-11 23:00:00,2015-11-11 23:00:00,1.0
Isolation Forest,4,2015-11-27 17:00:00,2015-11-27 17:00:00,1.0
Isolation Forest,4,2015-11-27 20:00:00,2015-11-27 20:00:00,1.0
Isolation Forest,4,2015-11-28 01:00:00,2015-11-28 01:00:00,1.0
Isolation Forest,4,2015-11-28 07:00:00,2015-11-28 07:00:00,1.0
Isolation Forest,4,2015-11-29 09:00:00,2015-11-29 09:00:00,1.0
Isolation Forest,4,2015-12-09 11:00:00,2015-12-09 11:00:00,1.0
Isolation Forest,4,2015-12-09 19:00:00,2015-12-09 19:00:00,1.0
Isolation Forest,4,2015-12-09 21:00:00,2015-12-09 21:00:00,1.0
Isolation Forest,4,2015-12-10 03:00:00,2015-12-10 03:00:00,1.0
Isolation Forest,4,2015-12-10 06:00:00,2015-12-10 06:00:00,1.0
Isolation Forest,4,2015-12-10 08:00:00,2015-12-10 08:00:00,1.0
Isolation Forest,4,2015-12-10 11:00:00,2015-12-10 12:00:00,2.0
Isolation Forest,4,2015-12-10 17:00:00,2015-12-10 17:00:00,1.0
Isolation Forest,4,2015-12-10 19:00:00,2015-12-11 03:00:00,9.0
Isolation Forest,4,2015-12-11 19:00:00,2015-12-11 19:00:00,1.0
Isolation Forest,4,2015-12-12 06:00:00,2015-12-12 06:00:00,1.0
Isolation Forest,4,2015-12-22 18:00:00,2015-12-22 18:00:00,1.0
Isolation Forest,4,2015-12-22 21:00:00,2015-12-22 21:00:00,1.0
Isolation Forest,4,2015-12-23 04:00:00,2015-12-23 06:00:00,3.0
Isolation Forest,4,2015-12-23 13:00:00,2015-12-23 16:00:00,4.0
Isolation Forest,4,2015-12-23 18:00:00,2015-12-23 19:00:00,2.0
Isolation Forest,4,2015-12-23 21:00:00,2015-12-23 21:00:00,1.0
Isolation Forest,4,2015-12-23 23:00:00,2015-12-24 22:00:00,24.0
Isolation Forest,4,2015-12-25 01:00:00,2015-12-25 03:00:00,3.0
Isolation Forest,4,2015-12-25 06:00:00,2015-12-25 06:00:00,1.0
Isolation Forest,4,2015-12-25 11:00:00,2015-12-25 11:00:00,1.0
Isolation Forest,4,2015-12-26 08:00:00,2015-12-26 08:00:00,1.0
Isolation Forest,5,2015-11-15 11:00:00,2015-11-15 11:00:00,1.0
Isolation Forest,5,2015-11-15 14:00:00,2015-11-15 14:00:00,1.0
Isolation Forest,5,2015-11-16 11:00:00,2015-11-16 11:00:00,1.0
Isolation Forest,5,2015-11-17 07:00:00,2015-11-17 09:00:00,3.0
Isolation Forest,5,2015-11-17 12:00:00,2015-11-17 12:00:00,1.0
Isolation Forest,5,2015-11-17 16:00:00,2015-11-17 16:00:00,1.0
Isolation Forest,5,2015-11-17 19:00:00,2015-11-17 19:00:00,1.0
Isolation Forest,5,2015-11-17 21:00:00,2015-11-17 22:00:00,2.0
Isolation Forest,5,2015-11-18 00:00:00,2015-11-18 11:00:00,12.0
Isolation Forest,5,2015-11-18 16:00:00,2015-11-19 08:00:00,17.0
Isolation Forest,5,2015-11-19 11:00:00,2015-11-19 11:00:00,1.0
Isolation Forest,5,2015-11-19 16:00:00,2015-11-19 16:00:00,1.0
Isolation Forest,5,2015-11-20 01:00:00,2015-11-20 01:00:00,1.0
Isolation Forest,5,2015-11-20 06:00:00,2015-11-20 06:00:00,1.0
