machineID,volt_3sigma_lower,volt_3sigma_upper,volt_iqr_lower,volt_iqr_upper,rotate_3sigma_lower,rotate_3sigma_upper,rotate_iqr_lower,rotate_iqr_upper,pressure_3sigma_lower,pressure_3sigma_upper,pressure_iqr_lower,pressure_iqr_upper,vibration_3sigma_lower,vibration_3sigma_upper,vibration_iqr_lower,vibration_iqr_upper
1,124.80135634381766,216.73454067531628,129.30978000000005,211.93229999999994,290.23052129560267,602.3741486425357,311.3470625,581.9452825000001,68.24474338420063,133.1513635040169,72.63952125,128.17075125,23.973861835525156,57.074314744823,26.242792499999993,54.51028050000001
2,123.88166704607315,217.66899258275723,129.73915250000005,211.70861249999996,286.1288946841115,605.689553521902,308.35824,585.34536,68.36793522442937,132.36242387929673,72.07136,128.183904,24.296972225079358,56.437410698528765,26.036162500000007,54.45560249999998
3,124.67710549505783,216.5695722203788,130.3109725,210.9307925,285.03252120573393,607.5065841402594,309.0405575,585.7495775,67.3645031358574,134.25754775696376,72.42491749999999,128.3797295,24.76971728299677,56.216296589251826,26.747727499999993,54.08493150000001
4,124.40995779184365,216.93626549401452,129.52781000000004,211.47177,283.0321224254713,606.8465707409796,303.56397749999996,588.2003175,69.15587615410739,131.782380306258,72.84171999999998,127.79001600000001,24.748980208015254,55.77239523264076,26.604401749999997,53.85740774999999
5,124.34269722148495,217.84378550042555,128.67686000000003,213.05805999999995,287.2907451355794,605.4564835797133,304.7807325,588.2648725,68.6714999171937,132.64460455640722,73.04259625,127.82499425,24.3109424136032,56.33596119566165,26.30020525,54.13329525
6,124.09253603591316,216.5786483519447,128.80043,211.99806999999998,295.78866472399363,601.4490759291499,312.9129449999999,585.5195050000001,69.35790942532346,131.29958204352994,72.93808125,127.46964725,24.557565585631025,56.42016087156938,26.496949250000004,54.26396324999999
7,123.96933985641623,218.89623511696885,129.19973500000003,213.56453499999998,286.544248307241,606.3574644592675,304.0977225,589.4179425,68.5060400958289,133.20281660392652,72.66587000000003,128.635406,24.134117214646515,57.0629751453017,26.269458749999995,54.555872750000006
8,124.41427017294191,217.35637579742203,128.55442750000003,212.96444749999995,282.93665726955146,610.6723573585597,304.97805999999997,589.79954,68.63373731809723,132.136152272753,72.47136,127.80163199999998,24.08305508628712,56.702854911986506,26.010734750000015,54.551912749999985
9,124.25785108463802,216.92884735875143,128.82903249999998,212.2501325,285.35590079555254,606.2343987814868,304.49001999999984,588.2413400000002,68.0192880491605,133.40140367548344,71.91143875000003,128.95006475,24.17519891279131,56.4500103129316,26.043150500000007,54.38444249999999
10,124.4321141408504,217.34777337173773,128.659105,212.840345,287.9607339581072,604.368390078722,306.27594500000004,586.950865,68.31504368399301,132.66579990599405,72.67207749999999,127.77198550000001,24.403798601325548,56.276402606845934,26.37307499999999,54.092819000000006
11,124.03349769885978,216.99912400736952,128.58274749999998,212.23868749999997,288.09290845891496,605.1837707383229,306.756445,587.6916450000001,67.52592500245004,134.18535394532728,71.776385,129.41501699999998,24.644687127399784,55.70987692755633,26.328466500000005,53.9472545
12,123.78443069200111,218.42843043589411,129.56442999999996,212.30643000000003,286.10171576222905,608.0373301879938,307.1393050000001,587.512025,67.52330738747804,134.1465311025234,72.57775249999999,128.5472605,24.462707861332376,56.03182985007605,26.164735000000004,54.180487
13,124.61339346502885,216.2522852545798,129.9425225,210.6691025,289.48721447106936,605.0445320891378,306.4222699999999,588.7225500000001,64.44218404725012,138.54300471666875,72.39903625000001,129.07812224999998,23.66169866340406,57.319271492256995,25.840076250000013,54.840502249999986
14,124.72248968713092,217.11717546320716,129.95807,211.60495,285.8244336598869,605.4141455603692,302.82388250000014,590.6118224999998,68.59141735534112,131.96615681528183,72.91206374999999,127.30072175000001,24.540370150021744,56.3548278574592,26.596315,54.21081100000001
15,124.62677694185734,217.65803952771537,129.76207750000006,212.19773749999993,289.547450423092,602.1626081123704,304.84246500000006,588.3649449999999,68.05655576068509,133.1040710783309,72.42170875000002,128.10505475,24.575228418787866,56.00627602805431,26.355571000000012,54.09189099999999
16,123.99874761199082,217.8638153613943,129.43590999999998,212.00271000000004,290.29816917480935,605.9705331931953,305.42663500000003,591.630915,66.68101104298282,135.50202565878672,71.862075,129.24096300000002,24.563803287465312,56.18762878360359,26.39397225,54.11746225
17,123.52926713348052,218.15160281041244,128.67217000000002,212.63949,287.90291157270127,604.9256132726448,304.43512499999986,589.6692850000001,67.23233225203106,135.84907158943062,73.17534375,129.07551375,24.373852884469425,56.258094100712555,26.556770500000006,53.894378499999995
18,124.8775840091429,216.17662623111033,130.4327675,210.70962749999995,286.0983506894593,605.9633632797538,306.827485,586.1925249999999,68.49656833782466,133.08927747486416,73.04806999999995,128.13174200000003,24.091940455281502,57.14221735596868,26.160789,54.919053
