model,horizon_hours,component,eligible_failures,detected_failures,mean_lead_time_hours,failure_detection_rate
3-Sigma,24,comp1,34,24,19.083333333333332,0.7058823529411765
3-Sigma,24,comp2,48,41,16.658536585365855,0.8541666666666666
3-Sigma,24,comp3,23,23,18.347826086956523,1.0
3-Sigma,24,comp4,32,28,16.678571428571427,0.875
3-Sigma,48,comp1,34,29,41.689655172413794,0.8529411764705882
3-Sigma,48,comp2,48,45,35.888888888888886,0.9375
3-Sigma,48,comp3,23,23,44.34782608695652,1.0
3-Sigma,48,comp4,32,31,41.38709677419355,0.96875
3-Sigma,72,comp1,33,29,45.55172413793103,0.8787878787878788
3-Sigma,72,comp2,48,45,40.71111111111111,0.9375
3-Sigma,72,comp3,23,23,47.47826086956522,1.0
3-Sigma,72,comp4,32,31,44.516129032258064,0.96875
IQR,24,comp1,34,28,20.607142857142858,0.8235294117647058
IQR,24,comp2,48,47,19.595744680851062,0.9791666666666666
IQR,24,comp3,23,23,21.869565217391305,1.0
IQR,24,comp4,32,32,19.5625,1.0
IQR,48,comp1,34,31,43.54838709677419,0.9117647058823529
IQR,48,comp2,48,48,42.3125,1.0
IQR,48,comp3,23,23,46.65217391304348,1.0
IQR,48,comp4,32,32,45.375,1.0
IQR,72,comp1,33,31,54.61290322580645,0.9393939393939394
IQR,72,comp2,48,48,50.770833333333336,1.0
IQR,72,comp3,23,23,54.52173913043478,1.0
IQR,72,comp4,32,32,53.03125,1.0
Isolation Forest,24,comp1,34,19,19.63157894736842,0.5588235294117647
Isolation Forest,24,comp2,48,41,19.634146341463413,0.8541666666666666
Isolation Forest,24,comp3,23,23,19.0,1.0
Isolation Forest,24,comp4,32,28,19.964285714285715,0.875
Isolation Forest,48,comp1,34,21,31.80952380952381,0.6176470588235294
Isolation Forest,48,comp2,48,42,30.0,0.875
Isolation Forest,48,comp3,23,23,34.56521739130435,1.0
Isolation Forest,48,comp4,32,29,35.275862068965516,0.90625
Isolation Forest,72,comp1,33,20,36.05,0.6060606060606061
Isolation Forest,72,comp2,48,42,31.88095238095238,0.875
Isolation Forest,72,comp3,23,23,35.78260869565217,1.0
Isolation Forest,72,comp4,32,29,38.3448275862069,0.90625
