horizon_hours,segment,rows,row_share,future_failure_rate,base_failure_rate,lift
24,Isolation Forest only,3883,0.02265460910151692,0.13700746845222767,0.01808051341890315,7.577631523947022
24,Isolation Forest and legacy,2372,0.013838973162193699,0.178752107925801,0.01808051341890315,9.886450886893286
24,Legacy only,6042,0.035250875145857646,0.041708043694141016,0.01808051341890315,2.3067953175784996
24,No alert,159103,0.9282555425904317,0.011885382425221398,0.01808051341890315,0.6573586794717482
48,Isolation Forest only,3826,0.02263905325443787,0.20412963930998432,0.03597041420118343,5.674931574829306
48,Isolation Forest and legacy,2318,0.013715976331360947,0.2989646246764452,0.03597041420118343,8.311403449633039
48,Legacy only,5951,0.03521301775147929,0.10989749621912284,0.03597041420118343,3.0552190921256392
48,No alert,156905,0.9284319526627219,0.0251808419107103,0.03597041420118343,0.7000431457328575
72,Isolation Forest only,3780,0.0226890756302521,0.22142857142857142,0.053847539015606245,4.1121391149258715
72,Isolation Forest and legacy,2265,0.013595438175270109,0.30772626931567326,0.053847539015606245,5.7147694201305494
72,Legacy only,5869,0.0352280912364946,0.12574544215368888,0.053847539015606245,2.3352124247915023
72,No alert,154686,0.9284873949579832,0.04330708661417323,0.053847539015606245,0.8042537766047553
