model,hours_before_failure,alert_rate,eligible_failures
Isolation Forest,72,0.029411764705882353,136
Isolation Forest,71,0.022058823529411766,136
Isolation Forest,70,0.029411764705882353,136
Isolation Forest,69,0.029411764705882353,136
Isolation Forest,68,0.029411764705882353,136
Isolation Forest,67,0.022058823529411766,136
Isolation Forest,66,0.03676470588235294,136
Isolation Forest,65,0.029411764705882353,136
Isolation Forest,64,0.022058823529411766,136
Isolation Forest,63,0.022058823529411766,136
Isolation Forest,62,0.029411764705882353,136
Isolation Forest,61,0.022058823529411766,136
Isolation Forest,60,0.03676470588235294,136
Isolation Forest,59,0.029411764705882353,136
Isolation Forest,58,0.029411764705882353,136
Isolation Forest,57,0.029411764705882353,136
Isolation Forest,56,0.03676470588235294,136
Isolation Forest,55,0.051470588235294115,136
Isolation Forest,54,0.029411764705882353,136
Isolation Forest,53,0.04411764705882353,136
Isolation Forest,52,0.03676470588235294,136
Isolation Forest,51,0.029411764705882353,136
Isolation Forest,50,0.029411764705882353,136
Isolation Forest,49,0.051470588235294115,136
Isolation Forest,48,0.03676470588235294,136
Isolation Forest,47,0.09558823529411764,136
Isolation Forest,46,0.0661764705882353,136
Isolation Forest,45,0.10294117647058823,136
Isolation Forest,44,0.11764705882352941,136
Isolation Forest,43,0.11764705882352941,136
Isolation Forest,42,0.14705882352941177,136
Isolation Forest,41,0.16911764705882354,136
Isolation Forest,40,0.19852941176470587,136
Isolation Forest,39,0.19117647058823528,136
Isolation Forest,38,0.21323529411764705,136
Isolation Forest,37,0.23529411764705882,136
Isolation Forest,36,0.21323529411764705,136
Isolation Forest,35,0.25,136
Isolation Forest,34,0.2647058823529412,136
Isolation Forest,33,0.22794117647058823,136
Isolation Forest,32,0.27205882352941174,136
Isolation Forest,31,0.2426470588235294,136
Isolation Forest,30,0.3014705882352941,136
Isolation Forest,29,0.2867647058823529,136
Isolation Forest,28,0.23529411764705882,136
Isolation Forest,27,0.34558823529411764,136
Isolation Forest,26,0.3161764705882353,136
Isolation Forest,25,0.33088235294117646,136
Isolation Forest,24,0.3382352941176471,136
Isolation Forest,23,0.35294117647058826,136
Isolation Forest,22,0.3602941176470588,136
Isolation Forest,21,0.33088235294117646,136
Isolation Forest,20,0.34558823529411764,136
Isolation Forest,19,0.33088235294117646,136
Isolation Forest,18,0.3088235294117647,136
Isolation Forest,17,0.29411764705882354,136
Isolation Forest,16,0.3382352941176471,136
Isolation Forest,15,0.35294117647058826,136
Isolation Forest,14,0.3602941176470588,136
