period,observations,anomaly_count,anomaly_rate
2015-10-20,300,4,0.013333333333333334
2015-10-21,2400,40,0.016666666666666666
2015-10-22,2400,20,0.008333333333333333
2015-10-23,2400,41,0.017083333333333332
2015-10-24,2400,40,0.016666666666666666
2015-10-25,2400,35,0.014583333333333334
2015-10-26,2400,102,0.0425
2015-10-27,2400,143,0.059583333333333335
2015-10-28,2400,116,0.04833333333333333
2015-10-29,2400,96,0.04
2015-10-30,2400,77,0.03208333333333333
2015-10-31,2400,107,0.044583333333333336
2015-11-01,2400,102,0.0425
2015-11-02,2400,98,0.04083333333333333
2015-11-03,2400,90,0.0375
2015-11-04,2400,62,0.025833333333333333
2015-11-05,2400,97,0.04041666666666666
2015-11-06,2400,88,0.03666666666666667
2015-11-07,2400,79,0.032916666666666664
2015-11-08,2400,65,0.027083333333333334
2015-11-09,2400,61,0.025416666666666667
2015-11-10,2400,84,0.035
2015-11-11,2400,98,0.04083333333333333
2015-11-12,2400,105,0.04375
2015-11-13,2400,87,0.03625
2015-11-14,2400,89,0.037083333333333336
2015-11-15,2400,72,0.03
2015-11-16,2400,65,0.027083333333333334
2015-11-17,2400,100,0.041666666666666664
2015-11-18,2400,178,0.07416666666666667
2015-11-19,2400,121,0.050416666666666665
2015-11-20,2400,96,0.04
2015-11-21,2400,40,0.016666666666666666
2015-11-22,2400,45,0.01875
2015-11-23,2400,62,0.025833333333333333
2015-11-24,2400,93,0.03875
2015-11-25,2400,75,0.03125
2015-11-26,2400,61,0.025416666666666667
2015-11-27,2400,95,0.03958333333333333
2015-11-28,2400,110,0.04583333333333333
2015-11-29,2400,72,0.03
2015-11-30,2400,64,0.02666666666666667
2015-12-01,2400,80,0.03333333333333333
2015-12-02,2400,92,0.03833333333333333
2015-12-03,2400,116,0.04833333333333333
2015-12-04,2400,123,0.05125
2015-12-05,2400,101,0.042083333333333334
2015-12-06,2400,118,0.049166666666666664
2015-12-07,2400,68,0.028333333333333332
2015-12-08,2400,114,0.0475
2015-12-09,2400,93,0.03875
2015-12-10,2400,122,0.050833333333333335
2015-12-11,2400,132,0.055
2015-12-12,2400,153,0.06375
2015-12-13,2400,155,0.06458333333333334
2015-12-14,2400,172,0.07166666666666667
2015-12-15,2400,123,0.05125
2015-12-16,2400,50,0.020833333333333332
2015-12-17,2400,14,0.005833333333333334
2015-12-18,2400,16,0.006666666666666667
2015-12-19,2400,46,0.019166666666666665
2015-12-20,2400,27,0.01125
2015-12-21,2400,60,0.025
2015-12-22,2400,80,0.03333333333333333
2015-12-23,2400,61,0.025416666666666667
2015-12-24,2400,126,0.0525
2015-12-25,2400,140,0.058333333333333334
2015-12-26,2400,117,0.04875
2015-12-27,2400,71,0.029583333333333333
2015-12-28,2400,79,0.032916666666666664
2015-12-29,2400,98,0.04083333333333333
2015-12-30,2400,105,0.04375
2015-12-31,2400,150,0.0625
2016-01-01,700,58,0.08285714285714285
